Points_max,Points_second_largest,Points_third_largest,OffensiveRebounds_max,OffensiveRebounds_second_largest,OffensiveRebounds_third_largest,DefensiveRebounds_max,DefensiveRebounds_second_largest,DefensiveRebounds_third_largest,TotalRebounds_max,TotalRebounds_second_largest,TotalRebounds_third_largest,Assistances_max,Assistances_second_largest,Assistances_third_largest,Steals_max,Steals_second_largest,Steals_third_largest,Turnovers_max,Turnovers_second_largest,Turnovers_third_largest,WINNER
14,13,9,3,2,2,10,4,4,13,6,5,5,3,2,1,1,1,6,4,3,True
15,12,10,3,2,1,5,4,4,6,6,5,4,3,2,5,2,1,3,1,1,False
18,16,8,4,1,1,8,5,4,8,6,6,5,4,2,2,1,1,4,2,2,True
18,12,11,2,1,1,7,5,4,8,5,4,4,3,3,2,2,2,6,4,3,False
17,16,13,6,5,2,5,4,3,9,9,6,2,2,2,1,1,1,4,3,2,False
16,15,13,4,2,0,6,3,2,6,5,4,11,2,2,3,2,2,4,2,1,True
15,12,11,4,3,1,4,3,3,7,6,4,5,5,4,2,2,1,3,1,1,True
18,12,10,3,2,2,5,4,2,8,6,3,5,3,2,1,1,1,3,3,3,False
21,19,12,3,1,1,7,6,6,9,8,7,11,6,4,1,1,1,2,2,1,True
14,12,10,4,3,1,5,5,4,6,6,5,2,2,2,2,2,0,3,2,2,False
13,9,9,3,1,1,6,4,3,6,6,4,5,5,3,1,0,0,5,2,2,False
19,16,10,2,1,1,4,4,4,5,4,4,6,2,2,2,2,1,1,1,1,True
22,14,13,3,1,1,6,3,2,6,6,3,4,3,2,2,2,1,3,1,1,False
16,15,12,6,3,3,4,4,3,10,6,6,7,6,5,2,1,1,3,2,2,True
20,12,12,2,1,1,6,6,3,8,7,4,9,4,1,4,2,1,4,2,2,True
16,11,10,3,1,1,4,4,4,6,5,4,4,3,1,4,1,0,4,3,2,False
26,15,13,4,3,2,5,4,4,7,6,5,6,5,1,2,2,1,2,2,2,True
14,11,11,5,2,2,6,2,2,7,6,4,3,2,2,2,1,1,4,2,2,False
28,20,13,3,2,1,5,5,5,6,6,6,8,6,3,2,1,1,6,2,2,False
19,15,14,3,2,2,7,5,3,9,5,5,7,5,4,4,2,1,2,2,1,True
17,12,10,2,2,1,6,5,3,7,6,4,3,3,2,2,2,2,5,3,3,True
18,12,8,3,3,2,3,3,3,6,6,3,3,3,3,3,2,1,3,3,2,False
21,12,9,3,1,1,6,4,2,7,5,3,4,4,3,2,2,2,2,2,2,False
14,13,12,2,2,1,6,4,4,7,6,4,6,5,3,2,1,1,3,3,2,True
16,15,7,4,1,1,5,4,3,9,5,4,4,2,2,3,3,2,3,2,2,False
13,9,9,3,2,1,7,4,4,10,6,5,3,3,2,3,2,2,4,4,2,True
14,13,12,7,3,3,6,3,3,9,7,4,6,2,2,2,2,1,3,2,1,False
23,15,13,4,3,2,9,6,3,9,6,6,9,4,2,3,1,1,3,2,2,True
21,14,12,2,2,1,6,4,3,7,5,4,3,3,3,2,1,1,2,2,2,False
23,16,15,3,3,2,11,3,2,14,5,3,6,6,2,2,2,2,3,2,2,True
