GAMECODE,CODETEAM,joueur_1,TIME,DELTA_SCORE,OFF,DEF
1,TSO,P009649,0 days 00:40:54,-9,83,92
1,TSO,P012019,0 days 00:34:18,-7,64,71
1,TSO,P013293,0 days 00:32:28,5,72,67
1,TSO,P013295,0 days 00:31:21,-9,67,76
1,TSO,P013296,0 days 00:28:54,-11,53,64
1,TSO,P013298,0 days 00:27:20,2,60,58
1,TSO,P008790,0 days 00:16:06,8,40,32
1,TSO,P013297,0 days 00:13:39,6,26,20
1,ULM,P013290,0 days 00:39:55,6,85,79
1,ULM,P011437,0 days 00:35:18,5,78,73
1,ULM,P011391,0 days 00:27:04,-1,63,64
1,ULM,P006997,0 days 00:24:43,11,51,40
1,ULM,P012077,0 days 00:23:52,-10,50,60
1,ULM,P013291,0 days 00:21:33,9,46,37
1,ULM,P006245,0 days 00:14:43,12,33,21
1,ULM,P012602,0 days 00:12:56,1,24,23
1,ULM,P013289,0 days 00:09:51,1,21,20
1,ULM,P010726,0 days 00:08:16,-5,18,23
1,ULM,P007952,0 days 00:06:49,-14,11,25
2,JOV,P013287,0 days 00:27:09,15,62,47
2,JOV,P013285,0 days 00:26:35,8,55,47
2,JOV,P002507,0 days 00:23:00,12,49,37
2,JOV,P010161,0 days 00:20:14,18,48,30
2,JOV,P005099,0 days 00:19:31,-16,29,45
2,JOV,P002361,0 days 00:18:54,-3,41,44
2,JOV,P012740,0 days 00:17:26,-8,25,33
2,JOV,P004834,0 days 00:16:58,-7,29,36
2,JOV,P012349,0 days 00:12:34,-14,16,30
2,JOV,P013286,0 days 00:09:53,-2,14,16
2,JOV,PJUG,0 days 00:07:46,12,22,10
2,HTA,P001927,0 days 00:33:47,-1,65,66
2,HTA,P005181,0 days 00:31:47,7,68,61
2,HTA,P013284,0 days 00:29:04,-3,58,61
2,HTA,P012096,0 days 00:25:15,10,54,44
2,HTA,P011157,0 days 00:19:57,-13,29,42
2,HTA,P010386,0 days 00:18:24,-15,29,44
2,HTA,P009818,0 days 00:15:36,-10,23,33
2,HTA,P013283,0 days 00:14:18,12,34,22
2,HTA,P010550,0 days 00:08:42,-2,12,14
2,HTA,P011386,0 days 00:03:10,0,3,3
3,WOL,P012003,0 days 00:32:32,-3,60,63
3,WOL,P011248,0 days 00:30:14,-19,54,73
3,WOL,P006546,0 days 00:26:47,-7,54,61
3,WOL,P012577,0 days 00:26:45,-22,43,65
3,WOL,P012789,0 days 00:20:05,-18,27,45
3,WOL,P005516,0 days 00:17:49,-1,25,26
3,WOL,P008186,0 days 00:17:00,8,33,25
3,WOL,P004645,0 days 00:15:56,7,32,25
3,WOL,P006853,0 days 00:09:36,-1,11,12
3,WOL,P003212,0 days 00:03:16,1,6,5
3,BAH,P003840,0 days 00:34:30,18,76,58
3,BAH,P011821,0 days 00:29:35,12,67,55
3,BAH,P011823,0 days 00:25:57,19,57,38
3,BAH,P009601,0 days 00:22:42,3,52,49
3,BAH,P011192,0 days 00:22:21,6,41,35
3,BAH,P004172,0 days 00:18:47,7,36,29
3,BAH,P012711,0 days 00:18:46,5,31,26
3,BAH,P011201,0 days 00:14:47,-7,20,27
3,BAH,P012405,0 days 00:12:28,-5,20,25
3,BAH,P008278,0 days 00:00:07,-3,0,3
4,BES,P010652,0 days 00:25:18,21,64,43
4,BES,P011927,0 days 00:23:24,3,46,43
4,BES,P008945,0 days 00:23:23,9,60,51
4,BES,P013255,0 days 00:22:53,5,48,43
4,BES,P011924,0 days 00:20:02,5,44,39
4,BES,P011936,0 days 00:19:25,8,40,32
4,BES,P009680,0 days 00:17:59,13,51,38
4,BES,P003783,0 days 00:17:13,14,44,30
4,BES,P007914,0 days 00:17:10,13,46,33
4,BES,P011379,0 days 00:13:13,-1,27,28
4,BUD,P008325,0 days 00:30:28,-10,63,73
4,BUD,P011150,0 days 00:30:02,-6,61,67
4,BUD,P012630,0 days 00:22:09,-10,43,53
4,BUD,P013256,0 days 00:21:44,-1,44,45
4,BUD,P011281,0 days 00:20:28,-20,36,56
