TEAM,NAME,PLAYER_ID,NAT,LINK
TSO,"BEST, AARON",P012019,CAN,https://media-cdn.incrowdsports.com/016a05db-05cb-4a1e-a2d3-c2c3123be20f.png
TSO,"GROSELLE, GEOFFREY",P013296,POL,https://media-cdn.incrowdsports.com/bc3c08a4-f8a4-4ace-8da3-f447b4434558.png
TSO,"JANKOWSKI, BARTOSZ",P013292,POL,https://media-cdn.incrowdsports.com/9bd1e930-8043-4050-a689-736e9bf1b6df.png
TSO,"JASZCZERSKI, WIKTOR",P013294,POL,https://media-cdn.incrowdsports.com/2452de6d-918b-4cff-ad3a-03ecce1de99a.png
TSO,"MCGOWENS, ROBERT",P013293,USA,https://media-cdn.incrowdsports.com/72aa5921-0b66-45d3-8ba1-1ff0259789c7.png
TSO,"PHILLIP, TARIK",P009649,GBR,https://media-cdn.incrowdsports.com/f964e5b5-ced6-4b26-a638-e27d2eec3082.png
TSO,"SCHENK, JAKUB",P013298,POL,https://media-cdn.incrowdsports.com/94fc994f-935a-429d-96cc-cb1313e3226c.png
TSO,"VAN VLIET, ANDY",P003885,BEL,https://media-cdn.incrowdsports.com/05e8f3f4-f335-4b44-b80d-7e0d9ee2cf63.png
TSO,"WEATHERS, MARCUS",P013297,USA,https://media-cdn.incrowdsports.com/235e74ae-efa4-4912-9f11-4ce3612e1da8.png
TSO,"WITLINSKI, MIKOLAJ",P008790,POL,https://media-cdn.incrowdsports.com/d0cc6371-34c8-4132-a701-08c7213ccaac.png
TSO,"ZYSKOWSKI, JAROSLAW",P013295,POL,https://media-cdn.incrowdsports.com/a88719d8-f216-434f-a4bf-ac40c34891b3.png
BES,"AKSU, YAGIZ",P012233,TUR,https://media-cdn.incrowdsports.com/5614942e-56cd-4ca4-8f6d-f56733a3b471.png
BES,"ALLMAN, KYLE",P011924,USA,https://media-cdn.incrowdsports.com/8509537c-0e40-451b-b6c8-0d7ed53c05df.png
BES,"ARSLAN, YIGIT",P007914,TUR,https://media-cdn.incrowdsports.com/b00538d4-0cdb-4699-b74d-1cc0188a6a8c.png
BES,"KONAN, KEREM",P011379,TUR,https://media-cdn.incrowdsports.com/3a2b1dc9-d027-4819-9dbd-bd5edb1a13f9.png
BES,"MARTIN, KELAN",P013255,USA,https://media-cdn.incrowdsports.com/9e946783-609a-4e7f-a2b1-f19a134e26c5.png
BES,"MATHEWS, JONAH",P011936,USA,https://media-cdn.incrowdsports.com/6e5002a2-5313-4940-bf0b-3f3ac7d7e44f.png
BES,"MORGAN, CONOR",P009680,CAN,https://media-cdn.incrowdsports.com/30e38f7a-559e-40ed-aeb0-3b1ba846b57d.png
BES,"NEEDHAM, DEREK",P008945,USA,https://media-cdn.incrowdsports.com/e9e97a76-0cd0-4bbf-94a9-2d7dc062877b.png
BES,"OZBEK, ATA",P012624,TUR,https://media-cdn.incrowdsports.com/0b98558d-c485-4d8a-b271-e88f5c55014a.png
BES,"SLEVA, DUSTIN",P011927,USA,https://media-cdn.incrowdsports.com/bb20c519-092d-48d8-a591-0f54264afbfd.png
BES,"TERRY, EMANUEL",P010652,USA,https://media-cdn.incrowdsports.com/59385d87-4f80-4d20-b578-a618e611ea02.png
BES,"UGURLU, BERK",P003783,TUR,https://media-cdn.incrowdsports.com/6c9de9cd-ad08-4927-8bee-80dcb2334828.png
CAN,"ALBICY, ANDREW",P003425,FRA,https://media-cdn.incrowdsports.com/7d12b702-a1a1-45d7-8257-225fbada577d.png
CAN,"ALOCEN, CARLOS",P010623,ESP,https://media-cdn.incrowdsports.com/690b8b9b-425d-4da6-b6d9-122eaec0e330.png
CAN,"BRUSSINO, NICOLAS",P008121,ITA,https://media-cdn.incrowdsports.com/aba56008-559a-461e-b5a5-2edd7a1415a5.png
CAN,"CONDITT IV, GEORGE",P012016,USA,https://media-cdn.incrowdsports.com/411c98e4-6d6e-4c5b-bf3f-619ab920b651.png
CAN,"HOMESLEY, CALEB",P011251,USA,https://media-cdn.incrowdsports.com/1bd73f16-1599-430f-9dc3-8f1d5635e6c7.png
CAN,"KLJAJIC, JOVAN",P007560,MNE,https://media-cdn.incrowdsports.com/c3cb4c76-806e-4976-8dc7-a073e508510d.png
CAN,"PELOS, PIERRE",P010452,FRA,https://media-cdn.incrowdsports.com/166cc1c2-7915-450d-91a5-973017aca976.png
CAN,"SALVO, MIQUEL",P005005,ESP,https://media-cdn.incrowdsports.com/96ee413a-7d15-4fa6-a0c4-f36703950a4c.png
CAN,"SHURNA, JOHN",P006588,USA,https://media-cdn.incrowdsports.com/3585d55e-72d0-478b-adb2-92ea4a3429fb.png
CAN,"THOMASSON, JOE",P012095,USA,https://media-cdn.incrowdsports.com/ce8554e2-ab1f-4620-8c43-9941d3888f3d.png
CAN,"TOBEY, MIKE",P008966,SLO,https://media-cdn.incrowdsports.com/d7471c9c-c1f2-4ca9-88a6-3c3ddccc597a.png
CAN,"URBANIAK, JAKUB",P012777,POL,https://media-cdn.incrowdsports.com/17b5a519-1f06-4c8b-a2b5-b56f9d90cc87.png
WOL,"ANDREWS, ANDREW",P011248,USA,https://media-cdn.incrowdsports.com/43792c0f-d229-4b7d-bc7c-ab407eab5f77.png
WOL,"BASLYK, DANIEL",P009306,LTU,https://media-cdn.incrowdsports.com/314bf574-4a3c-4437-8629-b8eb45b60fd0.png
WOL,"BLAZEVIC, MAREK",P008186,LTU,https://media-cdn.incrowdsports.com/e3c0623a-0b8a-4f1b-8f01-cb70c9a64873.png
WOL,"BROOKS, GARRISON",P012789,USA,https://media-cdn.incrowdsports.com/ba9693fa-dcb8-45dd-8572-d23bc6d675f6.png
WOL,"COWAN JR, ANTHONY",P012003,USA,https://media-cdn.incrowdsports.com/4c959f62-fd8e-4002-98cc-4a3d2fb7587b.png
WOL,"JOGELA, MATAS",P006853,LTU,https://media-cdn.incrowdsports.com/992a88f0-aeb7-4a06-bb0d-e974a5df36cc.png
WOL,"KARINIAUSKAS, VAIDAS",P003212,LTU,https://media-cdn.incrowdsports.com/712ecfb4-60b9-4d11-b999-02c2318bbf13.png
WOL,"MARCINKEVICIUS, JUSTINAS",P006897,LTU,https://media-cdn.incrowdsports.com/e147d032-df4d-4bf6-850b-60feaed68639.png
WOL,"MINIOTAS, REGIMANTAS",P004645,LTU,https://media-cdn.incrowdsports.com/a5e9c59a-37dc-468a-9bfe-894a14556921.png
WOL,"TAYLOR, JEFFERY",P006546,SWE,https://media-cdn.incrowdsports.com/10410890-e74a-4866-9d92-997cd1821ed9.png
WOL,"THURMAN, TRE'SHAWN",P012577,USA,https://media-cdn.incrowdsports.com/808d1e7c-37ed-4ac5-bd8e-8a1d948d56b6.png
WOL,"ZEMAITIS, KRISTUPAS",P005516,LTU,https://media-cdn.incrowdsports.com/f84eca86-4097-4692-800e-0480ec997309.png
TRN,"BAYEHE, JORDAN",P006724,CMR,https://media-cdn.incrowdsports.com/b976bc7a-1dad-4212-a481-c25582e1e620.png
TRN,"CALE, MYLES",P013269,USA,https://media-cdn.incrowdsports.com/1bf30f55-b73c-4030-8ff3-55446a0f861e.png
TRN,"ELLIS, QUINN",P012593,UK ,https://media-cdn.incrowdsports.com/1f3530cb-b118-43b4-a664-bfd6a21aad0a.png
TRN,"FORD, JORDAN",P013270,USA,https://media-cdn.incrowdsports.com/ab69c5eb-a3d8-475b-84ea-2952eb0e8a65.png
TRN,"FORRAY, TOTO",P006382,ITA,https://media-cdn.incrowdsports.com/6c16ee13-22a8-4495-933d-da832c04cdde.png
TRN,"LAMB, ANTHONY",P013272,USA,https://media-cdn.incrowdsports.com/2f927a8b-0dcb-4018-86ad-6c6c0b7c1bc4.png
TRN,"MAWUGBE, SELOM",P013271,USA,https://media-cdn.incrowdsports.com/a0d914dd-b3b6-4489-a257-333f7549074b.png
TRN,"NIANG, SALIOU",P012687,ITA,https://media-cdn.incrowdsports.com/39f43662-e79b-4cf0-849c-944d007b08e2.png
TRN,"PECCHIA, ANDREA",P005438,ITA,https://media-cdn.incrowdsports.com/ebd1041c-b76f-40f2-9c7f-b8f16507ae23.png
TRN,"ZUKAUSKAS, EIGIRDAS",P002387,LTU,https://media-cdn.incrowdsports.com/28506b3f-536f-4082-8c55-4066871d3956.png
JOV,"BRAY-GATES, KAISER EVAN",P013287,USA,https://media-cdn.incrowdsports.com/98e855df-13d3-48d2-9812-94e5fdaabe88.png
JOV,"BUSQUETS, PEP",P006771,ESP,https://media-cdn.incrowdsports.com/620af45e-b504-49e1-b27e-373c2c13a777.png
JOV,"DOTSON, DEVON DURRELL",P013285,USA,https://media-cdn.incrowdsports.com/1d67279a-713c-4df4-83bd-e0f3c9ee2d5b.png
JOV,"HANGA, ADAM",P005099,HUN,https://media-cdn.incrowdsports.com/f9dd2a24-1b86-4538-aca2-c93136cf6f50.png
JOV,"KRAAG, YANNICK",P010161,NED,https://media-cdn.incrowdsports.com/73868142-0644-49fd-9022-34e569aef043.png
JOV,"PLATTEEUW, IAN",P012226,ESP,https://media-cdn.incrowdsports.com/ef2aeb7c-0f4b-4322-9cf2-3fbbcc5681a1.png
JOV,"PUSTOVYI, ARTEM",P004834,UKR,https://media-cdn.incrowdsports.com/6af02b42-60cf-4293-b7d4-2c92b7c5b4dd.png
JOV,"RIBAS, PAU",PJUG,ESP,https://media-cdn.incrowdsports.com/a401ec84-fd4d-4e12-a2f0-67f8c458f795.png
JOV,"ROBERTSON, KASSIUS",P012740,JAM,https://media-cdn.incrowdsports.com/5aa7f467-8fe2-45db-97e5-2fbff4d3a1b9.png
JOV,"TOMIC, ANTE",P002507,CRO,https://media-cdn.incrowdsports.com/2667174b-7474-4889-8212-fc2acb612c1b.png
JOV,"VAN DER VUURST, KEYE",P013286,NED,https://media-cdn.incrowdsports.com/777f4ff4-108c-4b91-9e8a-eb6294e5feba.png
JOV,"VIVES, GUILLEM",P002361,ESP,https://media-cdn.incrowdsports.com/a8d169b3-dcd3-42f0-825d-ffc1ec94ac0d.png
BUD,"AZUBUIKE, UDOKA",P013259,USA,https://media-cdn.incrowdsports.com/dd3bf4b9-0406-4fc9-83fe-7009627907bf.png
BUD,"DREZNJAK, MATEO",P013258,CRO,https://media-cdn.incrowdsports.com/6ba06f56-4bec-40a8-a4d0-d0752c28546c.png
BUD,"FERRELL, YOGI",P011281,USA,https://media-cdn.incrowdsports.com/79848719-23d6-45a2-9968-0e3ac8502b64.png
BUD,"ILIC, ALEKSA",P006561,MNE,https://media-cdn.incrowdsports.com/7148adb7-6055-4361-8e9e-95321f68448b.png
BUD,"JOVANOVIC, DORDIJE",P010307,MNE,https://media-cdn.incrowdsports.com/cf138bac-7b20-462e-b860-b6c55d4ae947.png
BUD,"KAMENJAS, KENAN",P008325,BIH,https://media-cdn.incrowdsports.com/3f329c72-567b-4e6f-8a12-6365d2a4b348.png
BUD,"MAGEE, FLETCHER",P012630,USA,https://media-cdn.incrowdsports.com/9c004a66-384a-42d2-8264-ee95f35e1c83.png
BUD,"SLAVKOVIC, ANDRIJA",P006566,MNE,https://media-cdn.incrowdsports.com/0d5afb9d-c9bd-4b67-a967-38a167e4901e.png
BUD,"SULAIMON, RASHEED",P011150,USA,https://media-cdn.incrowdsports.com/14132571-dae3-45d3-ac2b-789b9ce262e2.png
BUD,"TANASKOVIC, NIKOLA",P005637,SRB,https://media-cdn.incrowdsports.com/46654867-6084-4b19-8ac5-6fd3fad5e989.png
BUD,"WRIGHT IV, MCKINLEY",P012606,USA,https://media-cdn.incrowdsports.com/c1c17c4f-deb7-44c1-8593-ed9af8d5cdb9.png
ULM,"ANIGBATA , ALEC",P012602,GER,https://media-cdn.incrowdsports.com/27517ba2-ed4a-43c5-a2a6-267bbb9eedeb.png
ULM,"ESSENGUE, NOA",P011391,FRA,https://media-cdn.incrowdsports.com/ad022789-3ef5-4004-9227-33b79fb3cc44.png
ULM,"HERKENHOFF, PHILIPP",P006997,GER,https://media-cdn.incrowdsports.com/a758bb1b-7972-4b08-b875-5e86872d5992.png
ULM,"JALLOW, KARIM",P005422,GER,https://media-cdn.incrowdsports.com/477f9093-9b89-427c-8c45-6a7650eff69e.png
ULM,"JENSEN, TOBIAS",P010726,DEN,https://media-cdn.incrowdsports.com/45686120-e926-441a-abbd-272b9ec56a9f.png
ULM,"JESSUP, JUSTINIAN",P013290,USA,https://media-cdn.incrowdsports.com/bc7bc65d-542f-4ee7-8ef0-ba499c700aae.png
ULM,"PLUMMER, ALFONSO",P012077,USA,https://media-cdn.incrowdsports.com/2c989d9f-f81f-4970-9030-6f9cac12f551.png
ULM,"ROBY , ISAIAH",P013291,USA,https://media-cdn.incrowdsports.com/c284da52-5bbb-461f-bb26-d5efc9471a52.png
ULM,"SANTOS, MARCIO",P013289,BRA,https://media-cdn.incrowdsports.com/e8e3e967-910e-48a0-8519-9406206b6754.png
ULM,"WEIDEMANN, NELSON",P006245,GER,https://media-cdn.incrowdsports.com/beec5fc0-efc7-4bd6-8c84-52d0fca75bd7.png
BAH,"ARNA, EGEHAN",P005348,TUR,https://media-cdn.incrowdsports.com/193386fe-f6b3-4af0-8698-b5126ec2b4fd.png
BAH,"BAS, GOKTUG",P008278,TUR,https://media-cdn.incrowdsports.com/8ec88863-00cc-4fb1-a007-f44554026e82.png
