GAMECODE,CODETEAM,joueur_1,joueur_2,TIME,DELTA_SCORE,OFF,DEF
1,TSO,P009649,P013295,0 days 00:30:40,-10,64,74
1,TSO,P009649,P012019,0 days 00:30:12,-13,54,67
1,TSO,P009649,P013293,0 days 00:28:22,-1,62,63
1,TSO,P009649,P013296,0 days 00:28:18,-13,51,64
1,TSO,P013293,P013295,0 days 00:25:15,-1,58,59
1,TSO,P013293,P013296,0 days 00:23:56,-2,49,51
1,TSO,P013295,P013296,0 days 00:23:40,-6,47,53
1,TSO,P009649,P013298,0 days 00:23:14,-4,50,54
1,TSO,P012019,P013295,0 days 00:22:38,-10,43,53
1,TSO,P012019,P013293,0 days 00:21:46,1,43,42
1,TSO,P012019,P013296,0 days 00:20:32,-12,31,43
1,TSO,P012019,P013298,0 days 00:16:38,-2,31,33
1,TSO,P013295,P013298,0 days 00:15:30,-6,36,42
1,TSO,P013293,P013298,0 days 00:14:48,10,39,29
1,TSO,P013296,P013298,0 days 00:13:56,-6,28,34
1,TSO,P008790,P012019,0 days 00:13:46,5,33,28
1,TSO,P008790,P013298,0 days 00:13:24,8,32,24
1,TSO,P008790,P009649,0 days 00:12:36,4,32,28
1,TSO,P013297,P013298,0 days 00:11:50,8,24,16
1,TSO,P012019,P013297,0 days 00:11:40,3,21,18
1,TSO,P009649,P013297,0 days 00:10:14,1,19,18
1,TSO,P008790,P013293,0 days 00:08:32,7,23,16
1,TSO,P008790,P013297,0 days 00:08:25,11,20,9
1,TSO,P008790,P013295,0 days 00:07:41,-3,20,23
1,TSO,P013293,P013297,0 days 00:07:13,6,14,8
1,TSO,P013296,P013297,0 days 00:05:14,-5,6,11
1,ULM,P011437,P013290,0 days 00:30:27,10,69,59
1,ULM,P006997,P013290,0 days 00:24:43,11,51,40
1,ULM,P011391,P013290,0 days 00:24:05,4,56,52
1,ULM,P011391,P011437,0 days 00:20:51,4,51,47
1,ULM,P011437,P012077,0 days 00:20:45,-2,43,45
1,ULM,P006997,P011437,0 days 00:20:42,8,45,37
1,ULM,P013290,P013291,0 days 00:19:27,7,42,35
1,ULM,P012077,P013290,0 days 00:19:21,-4,44,48
1,ULM,P011437,P013291,0 days 00:17:34,7,39,32
1,ULM,P011391,P012077,0 days 00:15:36,-9,37,46
1,ULM,P006997,P013291,0 days 00:15:23,5,29,24
1,ULM,P006245,P013290,0 days 00:14:29,10,31,21
1,ULM,P006245,P006997,0 days 00:12:23,11,30,19
1,ULM,P012077,P013291,0 days 00:11:23,5,25,20
1,ULM,P012602,P013290,0 days 00:10:44,4,17,13
1,ULM,P011391,P012602,0 days 00:10:04,-4,18,22
1,ULM,P006997,P012077,0 days 00:10:01,-1,18,19
1,ULM,P006245,P013291,0 days 00:09:19,4,21,17
1,ULM,P006997,P011391,0 days 00:08:53,9,22,13
1,ULM,P006245,P011437,0 days 00:08:22,8,24,16
1,ULM,P011437,P013289,0 days 00:08:00,0,17,17
1,ULM,P011391,P013289,0 days 00:07:18,2,17,15
1,ULM,P011437,P012602,0 days 00:06:58,-7,13,20
1,ULM,P007952,P011391,0 days 00:06:49,-14,11,25
1,ULM,P013289,P013290,0 days 00:06:24,-2,12,14
1,ULM,P006245,P011391,0 days 00:05:54,7,13,6
1,ULM,P010726,P012077,0 days 00:05:42,-8,11,19
1,ULM,P006245,P012602,0 days 00:05:26,6,9,3
1,ULM,P007952,P012077,0 days 00:05:23,-14,11,25
1,ULM,P012077,P013289,0 days 00:05:21,-1,9,10
1,ULM,P007952,P013290,0 days 00:05:11,-8,9,17
1,ULM,P010726,P013289,0 days 00:04:54,2,11,9
1,ULM,P006997,P012602,0 days 00:04:52,6,9,3
1,ULM,P010726,P013290,0 days 00:04:49,-8,9,17
1,ULM,P010726,P011391,0 days 00:04:42,-5,14,19
1,ULM,P012602,P013289,0 days 00:04:30,2,12,10
1,ULM,P011391,P013291,0 days 00:04:04,2,13,11
1,ULM,P010726,P011437,0 days 00:04:04,1,7,6
1,ULM,P010726,P013291,0 days 00:03:34,0,4,4
1,ULM,P007952,P011437,0 days 00:03:29,-9,4,13
1,ULM,P012602,P013291,0 days 00:03:22,4,7,3
1,ULM,P007952,P012602,0 days 00:03:04,-6,2,8
1,ULM,P013289,P013291,0 days 00:02:06,2,4,2
1,ULM,P007952,P010726,0 days 00:01:54,-5,7,12
1,ULM,P012077,P012602,0 days 00:01:38,-6,2,8
1,ULM,P006997,P010726,0 days 00:01:28,-2,0,2
1,ULM,P006245,P007952,0 days 00:01:26,0,0,0
1,ULM,P010726,P012602,0 days 00:01:06,5,7,2
1,ULM,P006245,P010726,0 days 00:00:51,0,2,2
1,ULM,P006997,P013289,0 days 00:00:27,-3,0,3
1,ULM,P006245,P013289,0 days 00:00:24,2,2,0
1,ULM,P006245,P012077,0 days 00:00:18,0,0,0
2,JOV,P013285,P013287,0 days 00:23:15,7,49,42
2,JOV,P002507,P013285,0 days 00:22:00,12,49,37
2,JOV,P002507,P013287,0 days 00:18:40,11,43,32
2,JOV,P010161,P013287,0 days 00:17:57,18,45,27
2,JOV,P002361,P013287,0 days 00:17:47,4,41,37
