GAMECODE,CODETEAM,joueur_1,joueur_2,joueur_3,TIME,DELTA_SCORE,OFF,DEF
1,TSO,P009649,P013293,P013295,0 days 00:24:34,-2,55,57
1,TSO,P009649,P013295,P013296,0 days 00:23:40,-6,47,53
1,TSO,P009649,P013293,P013296,0 days 00:23:20,-4,47,51
1,TSO,P009649,P012019,P013295,0 days 00:21:57,-11,40,51
1,TSO,P013293,P013295,P013296,0 days 00:21:31,-2,45,47
1,TSO,P009649,P012019,P013296,0 days 00:19:56,-14,29,43
1,TSO,P009649,P012019,P013293,0 days 00:17:40,-5,33,38
1,TSO,P012019,P013293,P013295,0 days 00:16:32,-2,34,36
1,TSO,P012019,P013293,P013296,0 days 00:15:34,-3,27,30
1,TSO,P012019,P013295,P013296,0 days 00:15:18,-7,25,32
1,TSO,P009649,P013295,P013298,0 days 00:14:49,-7,33,40
1,TSO,P009649,P013296,P013298,0 days 00:13:20,-8,26,34
1,TSO,P009649,P012019,P013298,0 days 00:12:32,-8,21,29
1,TSO,P008790,P012019,P013298,0 days 00:11:04,5,25,20
1,TSO,P009649,P013293,P013298,0 days 00:10:42,4,29,25
1,TSO,P013295,P013296,P013298,0 days 00:10:31,-3,24,27
1,TSO,P008790,P009649,P012019,0 days 00:10:16,1,25,24
1,TSO,P008790,P009649,P013298,0 days 00:09:54,4,24,20
1,TSO,P012019,P013297,P013298,0 days 00:09:51,5,19,14
1,TSO,P013293,P013295,P013298,0 days 00:09:24,2,27,25
1,TSO,P013293,P013296,P013298,0 days 00:08:58,3,24,21
1,TSO,P008790,P013297,P013298,0 days 00:08:25,11,20,9
1,TSO,P009649,P013297,P013298,0 days 00:08:25,3,17,14
1,TSO,P009649,P012019,P013297,0 days 00:08:15,-2,14,16
1,TSO,P008790,P012019,P013295,0 days 00:07:20,-3,18,21
1,TSO,P008790,P009649,P013295,0 days 00:07:00,-4,17,21
1,TSO,P012019,P013295,P013298,0 days 00:06:47,-7,12,19
1,TSO,P008790,P012019,P013297,0 days 00:06:26,8,15,7
1,TSO,P008790,P012019,P013293,0 days 00:06:12,4,16,12
1,TSO,P008790,P013293,P013298,0 days 00:05:50,7,15,8
1,TSO,P008790,P009649,P013297,0 days 00:05:36,8,15,7
1,TSO,P012019,P013296,P013298,0 days 00:05:34,-7,6,13
1,TSO,P013293,P013297,P013298,0 days 00:05:24,8,12,4
1,TSO,P012019,P013296,P013297,0 days 00:05:14,-5,6,11
1,TSO,P012019,P013293,P013297,0 days 00:05:14,3,9,6
1,TSO,P008790,P009649,P013293,0 days 00:05:02,3,15,12
1,TSO,P008790,P013295,P013298,0 days 00:04:59,-3,12,15
1,TSO,P008790,P013293,P013297,0 days 00:04:48,6,10,4
1,TSO,P009649,P013296,P013297,0 days 00:04:38,-7,4,11
1,TSO,P012019,P013293,P013298,0 days 00:04:06,6,10,4
1,TSO,P009649,P013293,P013297,0 days 00:03:48,1,7,6
1,TSO,P008790,P013293,P013295,0 days 00:03:44,1,13,12
1,TSO,P013296,P013297,P013298,0 days 00:03:25,-3,4,7
1,TSO,P013293,P013296,P013297,0 days 00:02:25,0,4,4
1,ULM,P006997,P011437,P013290,0 days 00:20:42,8,45,37
