RANK,CODETEAM,PLAYER,PLAYER_ID,NB_GAME,TIME_ON,PER,NOTE
1,PRS,"SHORTS, TJ",P012608,18,456.91,263.36,93.3
2,WRO,"MILETIC, DUSAN",P009896,18,461.67,229.01,90.1
3,ULM,"WILLIAMS , TREVION LAMON",P012604,17,472.56,225.09,89.5
4,BES,"DELGADO, ANGEL",P012647,18,476.02,220.35,89.0
5,PMT,"BALVIN, ONDREJ",P002644,17,411.59,200.61,88.6
6,CAN,"HAPP, ETHAN",P009864,16,298.44,152.05,86.6
7,LLI,"OLASENI, GABE",P006600,18,503.4,194.45,86.3
8,PRS,"WARD, TYSON",P012610,18,447.85,177.6,85.8
9,PRS,"MALCOLM, COLLIN",P012609,17,398.41,168.25,85.8
10,HTA,"ALEXANDER, KYLE",P011973,17,438.45,174.85,85.7
11,VNC,"TESSITORI,  AMEDEO",P003759,18,405.1,166.85,85.6
12,HTA,"HOARD, JAYLEN",P006835,13,312.6,141.35,85.0
13,CLU,"CATE, EMANUEL",P005373,18,320.68,142.05,84.9
14,JOV,"FELIZ, ANDRES",P011247,13,352.62,147.05,84.7
15,TTK,"ENOCH, STEVEN",P011239,17,468.02,168.45,84.6
16,CAN,"LAMMERS, BEN",P010385,18,303.86,132.25,84.2
17,BUD,"KAMENJAS, KENAN",P008325,6,109.99000000000001,78.0,83.9
18,LLI,"MORGAN, MATTHEW",P012585,18,497.18,164.85,83.8
19,CAN,"BRUSSINO, NICOLAS",P008121,16,360.91,136.25,83.4
20,PRS,"HIFI, NADIR",P012640,18,393.24,139.55,83.2
21,LJU,"MATKOVIC, KARLO",P009395,15,431.88,144.95,83.0
22,PRS,"SHAHRVIN, ENZO",P012612,9,97.75,67.85,82.8
23,LLI,"MORGAN, CONOR",P009680,18,473.13,146.8,82.6
24,BOU,"MIKE, ISIAHA",P011836,18,404.81,135.3,82.6
25,HTA,"GINAT, TOMER",P010550,14,357.23,125.85,82.4
26,HTA,"MUNFORD, XAVIER",P007759,18,515.3,149.81,82.3
27,PMT,"ODIASE, TAI",P011823,18,340.59,121.64,82.3
28,BOU,"MORGAN, JEREMY",P010431,17,375.47,126.8,82.2
29,VNC,"SPISSU, MARCO",P004381,14,395.78,127.9,82.0
30,BOU,"SALASH, MAKSIM",P004525,17,317.09,114.25,82.0
31,LJU,"COBBS, JUSTIN",P005969,15,444.6,134.25,81.9
32,PMT,"MARCH, RONALD",P012600,18,391.72,126.55,81.9
33,PRS,"KRATZER, LEON",P004512,18,309.99,110.6,81.7
34,LKB,"MALDUNAS, GABRIELIUS",P010461,18,368.24,117.24,81.4
35,CAN,"PRKACIN, ROKO",P007644,16,233.67,91.55,81.2
36,LKB,"SIRVYDIS, DEIVIDAS",P007029,16,498.69,133.3,81.1
37,HTA,"ANGOLA, BRAIAN",P010465,15,362.37,113.35,81.1
38,CLU,"RICHARD, PATRICK",P011801,18,478.73,128.5,80.9
39,CLU,"GUZMAN, KAREL",P011797,16,377.06,113.79,80.9
40,ULM,"FIGUEROA, LJ",P012603,18,469.3,124.55,80.7
41,CAN,"ALBICY, ANDREW",P003425,18,405.42,115.85,80.7
42,CLU,"STIPANOVIC, ANDRIJA",P005113,18,360.03000000000003,109.2,80.7
43,TRN,"BALDWIN, KAMAR",P012597,16,431.83,118.0,80.6
44,VNC,"WILTJER, KYLE",P008052,16,349.8,106.55,80.6
45,BUD,"MAKOUNDOU, YOAN",P011935,17,391.45,111.45,80.5
46,PRS,"JANTUNEN, MIKAEL",P012613,18,370.93,108.45,80.5
47,VNC,"TUCKER, RAYJON",P012591,17,498.72,123.7,80.3
48,ARI,"HARRELL JR, RONNIE LEE",P012716,18,473.85,120.6,80.3
49,BOU,"RISACHER, ZACCHARIE",P010718,17,408.41,112.05,80.3
50,ULM,"NUNEZ, JUAN",P010106,14,363.02,106.1,80.3
51,WOL,"MEKOWULU, CHRISTIAN",P012576,18,388.9,107.85,80.2
52,PRS,"SY, BANDJA",P005793,18,333.32,99.1,80.1
53,HTA,"BROWN, J'COVAN",P011991,11,301.43,92.35,79.9
54,WOL,"ZEMAITIS, KRISTUPAS",P005516,18,472.29,113.66,79.7
55,ARI,"SOUSA, SILVIO SAMUEL DE",P012702,18,321.72,94.2,79.7
56,LKB,"LIPKEVICIUS, VYTENIS",PLXI,15,423.61,107.05,79.6
57,WOL,"THURMAN, TRE'SHAWN",P012577,18,484.77,113.16,79.5
58,HAM,"DURHAM, ALJAMI",P012582,17,361.34000000000003,97.9,79.5
59,JOV,"ANDREWS, ANDREW",P011248,14,360.28,97.11,79.5
60,TTK,"WALLACE, TYRONE",P011925,18,609.09,125.8,79.4
61,CAN,"SALVO, MIQUEL",P005005,18,317.09,90.2,79.4
62,TRN,"GRAZULIS, ANDREJS",P005738,18,463.0,108.1,79.3
63,WOL,"MINIOTAS, REGIMANTAS",P004645,17,284.68,84.7,79.3
64,BUD,"WILLIAMS, JACOREY",P010432,12,229.98,76.0,79.3
65,ULM,"JALLOW, KARIM",P005422,18,469.28,107.05,79.1
66,LLI,"GRANTHAM, DONTE",P012586,15,416.65,100.45,79.1
67,PMT,"AGADA, CALEB",P011944,18,417.85,100.35,79.1
68,ARI,"TOLIOPOULOS, VASSILIS",P004292,16,387.04,96.1,79.0
69,PRS,"SIMON, JUSTIN",P011232,9,160.68,61.45,79.0
70,JOV,"KRAAG, YANNICK",P010161,17,267.8,78.55,78.9
71,TRN,"ELLIS, QUINN",P012593,16,343.25,87.35,78.7
72,LKB,"POPOVIC, NIKOLA",P006230,14,270.39,76.35,78.6
73,ULM,"MATHIAS, DAKOTA",P012629,9,189.81,63.4,78.5
74,LLI,"NWABA, DAVID",P012797,5,127.74000000000001,52.0,78.5
75,TTK,"PALMER JR., JAMES",P011834,17,465.29,98.25,78.4
76,ULM,"KLEPEISZ, THOMAS",P010582,18,479.34999999999997,98.24,78.3
77,HAM,"DZIEWA, ALEKSANDER",P011168,17,419.91,91.8,78.3
78,TRN,"COOKE JR, DEREK",P012596,17,273.6,74.4,78.3
79,CLU,"SEELEY, DENNIS",P004862,16,414.41,89.35,78.1
80,BOU,"KOKILA, KEVIN",P011837,18,340.58,81.66,78.1
81,BOU,"MASSA, BODIAN",P012618,9,172.17,57.1,78.0
