CODETEAM,PLAYER,PLAYER_ID,ROUND,TIME_ON,PER
ARI,"KATSIVELIS, DIMITRIS",P002867,1,12.42,-3.251182
ARI,"KATSIVELIS, DIMITRIS",P002867,2,13.17,2.0000145000000003
ARI,"KATSIVELIS, DIMITRIS",P002867,3,19.63,-0.2499015
ARI,"KATSIVELIS, DIMITRIS",P002867,4,10.45,1.35018
ARI,"KATSIVELIS, DIMITRIS",P002867,5,25.23,7.4991705
ARI,"KATSIVELIS, DIMITRIS",P002867,6,26.37,-5.949154999999999
ARI,"KATSIVELIS, DIMITRIS",P002867,7,14.5,-9.84985
ARI,"KATSIVELIS, DIMITRIS",P002867,8,22.35,3.4492899999999986
ARI,"KATSIVELIS, DIMITRIS",P002867,9,24.22,-2.4010640000000003
ARI,"KATSIVELIS, DIMITRIS",P002867,10,16.97,-6.600775499999999
ARI,"KATSIVELIS, DIMITRIS",P002867,15,4.8,1.80008
ARI,"KATSIVELIS, DIMITRIS",P002867,16,10.18,-2.7495209999999997
ARI,"KATSIVELIS, DIMITRIS",P002867,17,6.77,-3.550615
ARI,"KATSIVELIS, DIMITRIS",P002867,18,15.17,4.300236
ARI,"BOCHORIDIS, ELEFTHERIOS",P003240,1,28.65,1.5486949999999995
ARI,"BOCHORIDIS, ELEFTHERIOS",P003240,2,25.2,-5.398840000000001
ARI,"BOCHORIDIS, ELEFTHERIOS",P003240,4,23.3,1.8504550000000002
ARI,"BOCHORIDIS, ELEFTHERIOS",P003240,5,29.0,-2.2491
ARI,"BOCHORIDIS, ELEFTHERIOS",P003240,6,29.58,2.799011
ARI,"BOCHORIDIS, ELEFTHERIOS",P003240,7,9.27,-3.8508705
ARI,"BOCHORIDIS, ELEFTHERIOS",P003240,8,30.97,10.897819000000004
ARI,"BOCHORIDIS, ELEFTHERIOS",P003240,9,33.75,4.149249999999999
ARI,"BOCHORIDIS, ELEFTHERIOS",P003240,11,28.23,-3.0498269999999996
ARI,"BOCHORIDIS, ELEFTHERIOS",P003240,12,21.52,1.5507920000000004
ARI,"BOCHORIDIS, ELEFTHERIOS",P003240,13,17.57,5.0987925
