RANK,CODETEAM,PLAYER,NUMBER,PLAYER_ID,NB_GAME,TIME_ON,PER,IRS,NOTE
1,JER,"HARPER, JARED",1,P011970,7,205.3,111.95,7.81,89.0
2,JOV,"TOMIC, ANTE",44,P002507,8,201.12,105.8,7.46,88.2
3,VNC,"TSHIMANGA KABENGELE, MFIONDU",21,P012796,7,180.65,100.35,7.47,88.2
4,CLU,"SIMPSON, ZAVIER",3,P013302,8,225.57,99.7,6.64,86.1
5,PAM,"COSTELLO, MATTHEW",24,P010444,7,114.9,69.7,6.5,85.8
6,PAM,"LOPEZ-AROSTEGUI, XABI",6,P005356,7,120.85,70.35,6.4,85.5
7,ULM,"ESSENGUE, NOA",12,P011391,8,186.65,82.85,6.06,84.7
8,HTA,"BEVERLEY, PATRICK",22,P001927,8,218.92,87.2,5.89,84.3
9,BOU,"NELSON, ADRIAN",4,P013264,8,156.88,73.2,5.84,84.2
10,HTA,"MOTLEY, JOHNATHAN",0,P011157,6,144.42,69.3,5.77,84.0
11,BAH,"ODIASE, TAI",21,P011823,8,212.07,80.65,5.54,83.4
12,BAH,"HAZER, SEHMUS",2,P011201,8,198.98,77.9,5.52,83.4
13,BAH,"SIMONOVIC, MARKO",19,P012711,8,171.62,71.65,5.47,83.2
14,PAM,"PRADILLA, JAIME",4,P010393,7,150.17,67.1,5.48,83.2
15,LKB,"PECARSKI, MARKO",15,P005656,7,177.2,70.95,5.33,82.9
16,PAM,"OJELEYE, SEMI",37,P011982,7,159.1,67.05,5.32,82.9
17,LKB,"STIPANOVIC, ANDRIJA",31,P005113,5,118.72,57.95,5.32,82.9
18,TTK,"ANGOLA, BRAIAN",11,P010465,4,117.65,57.7,5.32,82.9
19,HAM,"KUATH, KUR",23,P013313,6,131.67,60.1,5.24,82.7
20,TRN,"FORD, JORDAN",5,P013270,8,201.53,72.5,5.11,82.3
21,PAM,"MONTERO, JEAN",8,P010042,6,133.62,57.8,5.0,82.1
22,TTK,"BROWN, ANTHONY",8,P009025,8,279.94,83.05,4.96,82.0
23,CAN,"TOBEY, MIKE",18,P008966,8,165.73,64.25,4.99,82.0
24,BAH,"BOUTEILLE, AXEL",83,P003840,8,220.57,72.6,4.89,81.8
25,TSO,"PHILLIP, TARIK",22,P009649,8,278.71,78.65,4.71,81.4
26,JER,"ZOOSMAN, YOVEL",50,P006625,8,208.58,68.45,4.74,81.4
27,CLU,"STEPHENS, DE'SHAWN",23,P006618,8,138.45,55.8,4.74,81.4
28,TTK,"ALEXANDER, KYLE",7,P011973,7,209.92,67.95,4.69,81.3
29,CLU,"HANKINS, ZACH",10,P013304,8,188.92,64.55,4.7,81.3
30,BAH,"PONITKA, MATEUSZ",20,P004172,7,148.65,56.85,4.66,81.2
31,BOU,"NGOUAMA, MEHDY",10,P009556,6,81.85,41.5,4.59,81.0
32,LKB,"RUBSTAVICIUS, MANTAS",17,P009299,7,170.25,57.45,4.4,80.6
33,BES,"MORGAN, CONOR",9,P009680,8,160.73,55.75,4.4,80.6
34,PAM,"REUVERS, NATHAN",3,P012738,7,95.62,42.8,4.38,80.5
35,JER,"OGBEIDE, DEREK",34,P013263,2,30.38,24.05,4.36,80.5
36,BAH,"CAVANAUGH, TYLER",34,P009601,8,189.87,59.45,4.31,80.4
37,CLU,"MOKOKA, ADAM",95,P012698,8,191.27,59.3,4.29,80.3
38,LJU,"BLAZIC, JAKA",11,P003452,8,212.98,62.1,4.26,80.2
39,WOL,"THURMAN, TRE'SHAWN",15,P012577,8,196.93,59.8,4.26,80.2
40,BES,"SLEVA, DUSTIN",14,P011927,8,166.78,54.85,4.25,80.2
41,BUD,"KAMENJAS, KENAN",34,P008325,8,203.71,59.55,4.17,80.0
42,HTA,"CABOCLO, BRUNO",51,P012096,8,175.68,54.95,4.15,80.0
43,WOL,"COWAN JR, ANTHONY",1,P012003,8,244.4,64.15,4.1,79.9
44,JOV,"DOTSON, DEVON DURRELL",2,P013285,8,209.43,58.65,4.05,79.7
45,BES,"TERRY, EMANUEL",33,P010652,8,176.94,52.7,3.96,79.5
46,JER,"JOHNSON, CHRIS",4,P013277,8,172.28,52.25,3.98,79.5
47,BOU,"PANSA, JEAN-MARC",27,P009552,8,138.34,46.4,3.95,79.5
48,CAN,"SALVO, MIQUEL",10,P005005,8,89.8,37.45,3.95,79.5
49,BAH,"SMITH, JALEEN",0,P011192,8,219.44,57.95,3.91,79.4
50,HTA,"GINAT, TOMER",41,P010550,8,187.23,53.7,3.92,79.4
51,WOL,"JOGELA, MATAS",23,P006853,7,147.22,47.5,3.92,79.4
52,ARI,"TOLIOPOULOS, VASSILIS",4,P004292,8,217.81,57.3,3.88,79.3
53,LJU,"LEMAR, BRYNTON",9,P013261,2,37.63,23.45,3.82,79.2
54,LJU,"ROBINSON, DEVIN",1,P012042,8,227.3,57.35,3.8,79.1
55,CAN,"SHURNA, JOHN",14,P006588,8,203.67,53.95,3.78,79.1
56,ULM,"SARAF, BEN",77,P011437,6,163.04,47.65,3.73,78.9
57,JER,"MORGAN, JEREMY",20,P010431,8,166.98,47.4,3.67,78.8
58,BOU,"AYAYI, JOEL",11,P006904,8,154.28,45.8,3.69,78.8
59,VNC,"WILTJER, KYLE",33,P008052,7,144.88,44.35,3.68,78.8
60,TSO,"WEATHERS, MARCUS",50,P013297,8,177.17,48.15,3.62,78.7
61,LJU,"JONES, DEVANTE",2,P013260,8,159.6,45.4,3.59,78.6
62,ARI,"DE JULIUS, DAVID",5,P013250,6,157.27,45.2,3.6,78.6
63,HTA,"RAGLAND, JOE",1,P005181,8,149.97,43.95,3.59,78.6
64,CAN,"BRUSSINO, NICOLAS",9,P008121,8,225.93,53.3,3.55,78.5
65,BOU,"KOKILA, KEVIN",34,P011837,8,156.2,44.55,3.56,78.5
66,JER,"WILEY, AUSTIN",5,P013278,5,98.5,35.4,3.57,78.5
67,WOL,"ANDREWS, ANDREW",12,P011248,8,212.94,51.25,3.51,78.4
68,CAN,"ALBICY, ANDREW",6,P003425,8,191.7,47.65,3.44,78.2
69,WOL,"BLAZEVIC, MAREK",22,P008186,8,142.98,41.0,3.43,78.2
70,BOU,"CASTANEDA, XAVIER",13,P013266,7,182.95,45.75,3.38,78.1
71,BUD,"MAGEE, FLETCHER",3,P012630,8,141.23,40.35,3.4,78.1
72,BAH,"MASSINBURG, CJ",5,P011821,5,136.24,39.75,3.41,78.1
73,VNC,"ENNIS, TYLER",11,P008858,2,60.6,26.45,3.4,78.1
74,HTA,"FOSTER, MARCUS",17,P010386,8,184.15,45.3,3.34,78.0
75,CLU,"GUZMAN, KAREL",0,P011797,5,116.94,35.65,3.3,77.9
76,JOV,"ROBERTSON, KASSIUS",30,P012740,8,178.97,43.8,3.27,77.8
77,PAM,"JOVIC, STEFAN",16,P004863,6,86.15,30.35,3.27,77.8
78,ULM,"JESSUP, JUSTINIAN",10,P013290,8,257.77,52.1,3.25,77.7
79,LJU,"RADOVIC, ROK",3,P009392,8,131.78,36.9,3.21,77.7
80,TTK,"CHARALAMPOPOULOS, VASILIS",33,P004218,2,36.63,19.6,3.24,77.7
81,BUD,"FERRELL, YOGI",11,P011281,8,205.6,45.55,3.18,77.6
82,TSO,"SCHENK, JAKUB",55,P013298,8,201.21,44.85,3.16,77.5
83,CAN,"HOMESLEY, CALEB",5,P011251,8,181.17,42.3,3.14,77.5
84,LJU,"BERINGER, JOAN",20,P012996,7,115.95,34.15,3.17,77.5
85,ARI,"WOODBURY, TREY",22,P013251,7,144.25,37.25,3.1,77.4
86,PAM,"PUERTO, JOSEP",2,P006643,7,112.23,33.05,3.12,77.4
87,BES,"NEEDHAM, DEREK",5,P008945,8,202.45,43.8,3.08,77.3
88,HAM,"IVEY, BRAE",1,P013308,8,185.42,41.15,3.02,77.2
89,HAM,"RICH, OSARO",3,P011256,8,167.78,39.4,3.04,77.2
90,BOU,"SALASH, MAKSIM",3,P004525,8,181.0,40.35,3.0,77.1
91,TTK,"MAKOUNDOU, YOAN",55,P011935,8,172.28,39.0,2.97,77.1
92,BES,"ARSLAN, YIGIT",7,P007914,7,134.41,34.55,2.98,77.1
93,LJU,"GEBEN, MARTINAS",23,P009753,8,130.6,34.3,3.0,77.1
94,VNC,"WHEATLE, CARL",24,P013305,8,202.56,42.05,2.95,77.0
95,TRN,"ZUKAUSKAS, EIGIRDAS",33,P002387,5,84.35,27.15,2.96,77.0
96,TRN,"LAMB, ANTHONY",22,P013272,8,209.35,41.96,2.9,76.9
97,BOU,"USHER, JORDAN",8,P013265,8,194.43,40.3,2.89,76.9
98,TSO,"GROSELLE, GEOFFREY",32,P013296,5,104.9,30.0,2.93,76.9
99,BUD,"MORGAN, JUWAN",0,P013256,4,93.65,28.15,2.91,76.9
100,BUD,"SULAIMON, RASHEED",1,P011150,8,249.73,45.2,2.86,76.8
101,HAM,"LOTTIE, JAIZEC",4,P013309,7,150.19,35.05,2.86,76.8
102,CLU,"SALIN, SASU",9,P002820,8,185.92,38.85,2.85,76.7
103,ULM,"HERKENHOFF, PHILIPP",14,P006997,8,166.2,36.45,2.83,76.7
104,ARI,"ROBERTS, JOSHUA",23,P013252,8,136.16,33.15,2.84,76.7
105,WOL,"BROOKS, GARRISON",4,P012789,8,169.7,36.1,2.77,76.6
106,HTA,"WAINRIGHT, ISHMAIL CARZELL",24,P013284,8,212.73,39.35,2.7,76.4
107,HTA,"TIMOR, BAR",10,P004846,7,143.95,32.65,2.72,76.4
108,BUD,"WRIGHT IV, MCKINLEY",25,P012606,8,160.35,33.7,2.66,76.3
109,VNC,"MC GRUDER, RODNEY",2,P012800,4,117.22,28.55,2.64,76.2
110,TSO,"ZYSKOWSKI, JAROSLAW",15,P013295,8,216.29,37.2,2.53,76.0
111,BOU,"BENITEZ, HUGO",5,P010449,7,155.12,31.6,2.54,76.0
112,ULM,"PLUMMER, ALFONSO",9,P012077,7,160.97,31.55,2.49,75.9
113,BES,"UGURLU, BERK",6,P003783,8,150.5,30.4,2.48,75.8
114,HTA,"PALATIN, GUY",9,P013283,3,27.55,13.0,2.48,75.8
115,WOL,"ZEMAITIS, KRISTUPAS",13,P005516,8,185.04,33.2,2.44,75.7
116,JOV,"BRAY-GATES, KAISER EVAN",12,P013287,7,184.24,33.05,2.43,75.7
117,BES,"MARTIN, KELAN",30,P013255,8,179.87,31.8,2.37,75.6
118,VNC,"SIMMS, AAMIR",25,P011928,7,164.8,30.7,2.39,75.6
119,BES,"MATHEWS, JONAH",2,P011936,6,141.78,27.45,2.31,75.4
120,TRN,"MAWUGBE, SELOM",21,P013271,8,180.2,30.05,2.24,75.2
121,LKB,"LIPKEVICIUS, VYTENIS",10,PLXI,7,151.04,27.1,2.21,75.2
122,PAM,"DE LARREA, SERGIO",5,P010750,5,63.05,17.7,2.23,75.2
123,HAM,"MARONKA, ZSOMBOR",5,P008103,3,47.37,15.25,2.22,75.2
124,PAM,"BADIO, BRANCOU",0,P007527,7,143.78,26.25,2.19,75.1
125,CAN,"PELOS, PIERRE",13,P010452,8,120.68,24.05,2.19,75.1
126,BOU,"COURBY, MAXIME",7,P010450,7,109.4,22.3,2.13,75.0
127,TTK,"DURMAZ, BERKAN",3,P007917,8,97.63,21.2,2.15,75.0
128,CAN,"URBANIAK, JAKUB",1,P012777,1,21.05,9.85,2.15,75.0
129,JOV,"HANGA, ADAM",88,P005099,7,161.05,26.45,2.08,74.9
130,HAM,"KENNEDY, KEONDRE",11,P013311,6,100.28,20.85,2.08,74.9
