CODETEAM,NUMBER,PLAYER,PLAYER_ID,ROUND,TIME_ON,PER
ARI,13.0,"BOCHORIDIS, ELEFTHERIOS",P003240,1,21.183,3.39982735
ARI,13.0,"BOCHORIDIS, ELEFTHERIOS",P003240,2,19.999,0.15009000000000006
ARI,13.0,"BOCHORIDIS, ELEFTHERIOS",P003240,3,26.135,17.299298500000003
ARI,13.0,"BOCHORIDIS, ELEFTHERIOS",P003240,4,18.366,-5.949868
ARI,13.0,"BOCHORIDIS, ELEFTHERIOS",P003240,5,20.183,-0.6011179499999995
ARI,13.0,"BOCHORIDIS, ELEFTHERIOS",P003240,6,15.683,5.4007887
ARI,13.0,"BOCHORIDIS, ELEFTHERIOS",P003240,7,28.333,2.3993604
ARI,4.0,"TOLIOPOULOS, VASSILIS",P004292,1,22.415,5.499932750000001
ARI,4.0,"TOLIOPOULOS, VASSILIS",P004292,2,24.098,-0.10012729999999959
ARI,4.0,"TOLIOPOULOS, VASSILIS",P004292,3,22.049,12.850022100000002
ARI,4.0,"TOLIOPOULOS, VASSILIS",P004292,4,29.682,7.700244600000001
ARI,4.0,"TOLIOPOULOS, VASSILIS",P004292,5,30.417,10.698815249999999
ARI,4.0,"TOLIOPOULOS, VASSILIS",P004292,6,27.5,6.600874999999999
ARI,4.0,"TOLIOPOULOS, VASSILIS",P004292,7,31.65,4.9499875
ARI,4.0,"TOLIOPOULOS, VASSILIS",P004292,8,30.0,9.099499999999999
ARI,72.0,"MANTZOUKAS, ELEFTHERIOS",P008084,1,28.865,3.250460249999999
ARI,72.0,"MANTZOUKAS, ELEFTHERIOS",P008084,2,30.282,0.6004984999999996
ARI,72.0,"MANTZOUKAS, ELEFTHERIOS",P008084,3,20.717,2.9004856999999995
ARI,7.0,"KAZAMIAS, VASILLIS",P012638,7,5.167,-0.79994435
ARI,7.0,"KAZAMIAS, VASILLIS",P012638,8,15.667,-6.5492014
ARI,16.0,"POURLIDAS, VASSILIS",P013049,2,0.067,0.10000085000000002
ARI,16.0,"POURLIDAS, VASSILIS",P013049,4,0.283,0.0
ARI,16.0,"POURLIDAS, VASSILIS",P013049,8,12.367,-0.6494709500000004
ARI,1.0,"BANKS, JAMES",P013248,1,17.068,2.1995379999999995
ARI,1.0,"BANKS, JAMES",P013248,2,12.066,0.9005535999999998
ARI,1.0,"BANKS, JAMES",P013248,3,13.133,5.95011125
ARI,1.0,"BANKS, JAMES",P013248,4,10.749,4.8496855
ARI,1.0,"BANKS, JAMES",P013248,5,5.333,2.6999010500000002
ARI,1.0,"BANKS, JAMES",P013248,6,10.416,0.8500191999999998
ARI,1.0,"BANKS, JAMES",P013248,7,6.784,-0.09984320000000002
ARI,1.0,"BANKS, JAMES",P013248,8,11.467,-0.3493512000000001
ARI,2.0,"NOLLEY, LANDERS",P013249,1,22.033,1.3998823500000004
ARI,2.0,"NOLLEY, LANDERS",P013249,2,26.264,4.348550799999999
ARI,2.0,"NOLLEY, LANDERS",P013249,3,16.716,-7.900409
ARI,2.0,"NOLLEY, LANDERS",P013249,4,22.483,4.900718450000001
ARI,2.0,"NOLLEY, LANDERS",P013249,5,26.017,5.6000972
ARI,2.0,"NOLLEY, LANDERS",P013249,6,25.834,5.998241300000001
ARI,5.0,"DE JULIUS, DAVID",P013250,1,21.267,2.1002896499999997
ARI,5.0,"DE JULIUS, DAVID",P013250,2,27.482,6.150339699999999
ARI,5.0,"DE JULIUS, DAVID",P013250,3,21.117,11.1991235
ARI,5.0,"DE JULIUS, DAVID",P013250,4,29.784,18.5994476
ARI,5.0,"DE JULIUS, DAVID",P013250,5,32.467,0.6507009999999998
ARI,5.0,"DE JULIUS, DAVID",P013250,6,25.151,6.500693700000001
ARI,22.0,"WOODBURY, TREY",P013251,1,17.165,4.10058225
ARI,22.0,"WOODBURY, TREY",P013251,2,19.266,0.3504166999999998
ARI,22.0,"WOODBURY, TREY",P013251,3,22.199,2.449190850000001
ARI,22.0,"WOODBURY, TREY",P013251,4,10.967,-0.1001378500000003
ARI,22.0,"WOODBURY, TREY",P013251,5,18.017,5.74964845
ARI,22.0,"WOODBURY, TREY",P013251,6,23.949,7.599672699999998
ARI,22.0,"WOODBURY, TREY",P013251,7,32.683,17.1000424
ARI,23.0,"ROBERTS, JOSHUA",P013252,1,14.516,-1.9999879999999999
ARI,23.0,"ROBERTS, JOSHUA",P013252,2,23.266,16.9501997
ARI,23.0,"ROBERTS, JOSHUA",P013252,3,7.85,0.29997750000000023
ARI,23.0,"ROBERTS, JOSHUA",P013252,4,13.299,5.50049535
ARI,23.0,"ROBERTS, JOSHUA",P013252,5,16.633,-1.80016555
ARI,23.0,"ROBERTS, JOSHUA",P013252,6,10.534,2.4997758999999995
ARI,23.0,"ROBERTS, JOSHUA",P013252,7,25.116,11.2508622
ARI,23.0,"ROBERTS, JOSHUA",P013252,8,24.95,0.45150999999999897
ARI,55.0,"HODGE, D' MOI",P013253,4,11.799,0.19943785000000003
ARI,55.0,"HODGE, D' MOI",P013253,5,24.233,0.7008438999999997
ARI,55.0,"HODGE, D' MOI",P013253,6,20.001,6.449870000000001
ARI,55.0,"HODGE, D' MOI",P013253,7,24.633,5.500584300000001
ARI,55.0,"HODGE, D' MOI",P013253,8,25.933,6.8995519
ARI,10.0,"CHATZIDAKIS, EMMANOUIL",P013355,1,5.099,-4.1502748
ARI,10.0,"CHATZIDAKIS, EMMANOUIL",P013355,2,4.25,-2.1000125
ARI,10.0,"CHATZIDAKIS, EMMANOUIL",P013355,3,19.017,6.099953749999999
ARI,10.0,"CHATZIDAKIS, EMMANOUIL",P013355,4,15.951,-5.70062225
ARI,10.0,"CHATZIDAKIS, EMMANOUIL",P013355,5,16.167,-0.6998112500000002
ARI,10.0,"CHATZIDAKIS, EMMANOUIL",P013355,6,19.05,4.5506775
ARI,10.0,"CHATZIDAKIS, EMMANOUIL",P013355,7,8.1,-4.89999
ARI,10.0,"CHATZIDAKIS, EMMANOUIL",P013355,8,24.016,-2.1017664000000007
ARI,12.0,"GKIOUZELIS, GEORGIOS",P013356,1,20.568,-8.5497952
ARI,12.0,"GKIOUZELIS, GEORGIOS",P013356,2,9.834,-0.8003342000000001
