Gamecode,CODETEAM,TIME,DELTA_SCORE,OFF,DEF,P1,P2,P3,P4,P5
1,TSO,13.15,-3,23,26,P009649,P012019,P013293,P013295,P013296
1,TSO,8.367,1,22,21,P009649,P013293,P013295,P013296,P013298
1,TSO,3.95,-4,7,11,P008790,P009649,P012019,P013295,P013298
1,TSO,3.617,5,10,5,P008790,P009649,P012019,P013297,P013298
1,TSO,2.817,3,5,2,P008790,P012019,P013293,P013297,P013298
1,TSO,2.817,-5,2,7,P009649,P012019,P013296,P013297,P013298
1,TSO,2.7,0,8,8,P008790,P009649,P012019,P013293,P013295
1,TSO,2.15,-4,2,6,P009649,P012019,P013295,P013296,P013298
1,TSO,1.983,3,5,2,P008790,P009649,P013293,P013297,P013298
1,TSO,1.817,-2,2,4,P009649,P012019,P013293,P013296,P013297
1,TSO,0.683,1,3,2,P008790,P012019,P013293,P013295,P013298
1,TSO,0.6,2,2,0,P012019,P013293,P013296,P013297,P013298
1,TSO,0.35,0,2,2,P008790,P009649,P013293,P013295,P013298
1,ULM,5.717,0,9,9,P006997,P011437,P012077,P013290,P013291
1,ULM,5.333,2,14,12,P006245,P006997,P011437,P013290,P013291
1,ULM,3.567,3,12,9,P011391,P011437,P012077,P013290,P013291
1,ULM,3.55,2,9,7,P006997,P011391,P011437,P012077,P013290
1,ULM,3.233,-3,5,8,P011391,P011437,P012602,P013289,P013290
1,ULM,3.033,6,10,4,P006245,P006997,P011391,P011437,P013290
1,ULM,2.867,5,6,1,P006245,P006997,P012602,P013290,P013291
1,ULM,2.1,2,4,2,P010726,P011437,P012077,P013289,P013291
1,ULM,1.9,-5,7,12,P007952,P010726,P011391,P012077,P013290
1,ULM,1.85,-3,2,5,P007952,P011391,P011437,P012077,P013290
1,ULM,1.767,1,3,2,P006997,P011391,P011437,P012602,P013290
1,ULM,1.633,-6,2,8,P007952,P011391,P011437,P012077,P012602
1,ULM,1.433,0,0,0,P006245,P007952,P011391,P012602,P013290
1,ULM,1.1,5,5,0,P011391,P011437,P012077,P013289,P013290
1,ULM,0.917,-3,0,3,P010726,P011391,P012077,P013289,P013290
1,ULM,0.85,0,0,0,P006997,P010726,P011437,P013290,P013291
1,ULM,0.783,-2,0,2,P010726,P011391,P011437,P012077,P013289
1,ULM,0.617,-2,0,2,P006245,P006997,P010726,P013290,P013291
1,ULM,0.533,2,2,0,P010726,P011391,P012602,P013289,P013290
1,ULM,0.5,-1,1,2,P006245,P011391,P012602,P013290,P013291
1,ULM,0.45,-3,0,3,P006997,P011437,P012077,P013289,P013290
1,ULM,0.333,1,3,2,P010726,P011391,P011437,P012602,P013289
1,ULM,0.3,0,0,0,P006245,P006997,P011391,P012077,P013290
1,ULM,0.233,2,2,0,P006245,P010726,P011391,P012602,P013289
1,ULM,0.233,0,0,0,P006245,P006997,P011391,P012602,P013290
1,ULM,0.167,0,0,0,P006245,P011391,P012602,P013289,P013290
2,JOV,9.033,9,22,13,P002361,P002507,P010161,P013285,P013287
2,JOV,5.117,-6,7,13,P004834,P005099,P012349,P012740,P013286
2,JOV,4.783,7,12,5,P002507,P010161,P013285,P013287,PJUG
2,JOV,4.6,-6,8,14,P002361,P002507,P005099,P013285,P013287
2,JOV,3.017,1,6,5,P002507,P005099,P012349,P012740,P013285
2,JOV,2.733,4,9,5,P002361,P004834,P010161,P013287,PJUG
2,JOV,2.283,0,3,3,P004834,P010161,P012349,P012740,P013286
2,JOV,2.05,0,3,3,P004834,P005099,P012740,P013285,P013287
2,JOV,1.367,0,2,2,P004834,P010161,P012740,P013285,P013287
2,JOV,1.167,4,4,0,P004834,P005099,P012740,P013286,P013287
2,JOV,1.133,-2,1,3,P002361,P004834,P005099,P013285,P013287
2,JOV,1.117,-7,0,7,P002361,P004834,P005099,P012349,P012740
2,JOV,1.0,0,0,0,P002507,P005099,P012349,P012740,P013286
2,JOV,0.317,0,0,0,P002507,P005099,P012740,P013285,P013286
2,JOV,0.25,1,1,0,P002361,P002507,P013285,P013287,PJUG
2,JOV,0.033,-2,0,2,P002361,P010161,P012349,P013285,P013287
2,HTA,6.8,-3,12,15,P001927,P005181,P009818,P011157,P013284
2,HTA,4.683,15,19,4,P001927,P005181,P012096,P013283,P013284
2,HTA,4.45,0,7,7,P005181,P009818,P012096,P013283,P013284
2,HTA,4.167,-7,4,11,P001927,P009818,P010386,P011157,P013284
2,HTA,3.517,-2,8,10,P001927,P005181,P010386,P012096,P013284
2,HTA,3.183,2,7,5,P001927,P005181,P010386,P010550,P012096
2,HTA,3.183,-5,3,8,P001927,P005181,P010386,P011157,P013284
2,HTA,2.283,0,3,3,P001927,P010550,P011157,P011386,P012096
2,HTA,1.233,-2,3,5,P005181,P010386,P012096,P013283,P013284
2,HTA,1.2,4,5,1,P001927,P005181,P011157,P012096,P013283
2,HTA,1.167,-2,0,2,P001927,P010386,P010550,P012096,P013283
2,HTA,1.1,0,2,2,P001927,P005181,P010386,P011157,P012096
2,HTA,0.683,-2,0,2,P001927,P005181,P010550,P011157,P012096
2,HTA,0.567,0,0,0,P001927,P005181,P010550,P011386,P012096
2,HTA,0.533,0,0,0,P005181,P010386,P011157,P013283,P013284
2,HTA,0.433,-2,0,2,P001927,P005181,P010550,P012096,P013283
2,HTA,0.317,0,0,0,P001927,P010550,P011386,P012096,P013283
2,HTA,0.25,-1,0,1,P001927,P010386,P012096,P013283,P013284
2,HTA,0.183,0,0,0,P001927,P005181,P009818,P012096,P013284
2,HTA,0.033,0,0,0,P001927,P010386,P010550,P013283,P013284
2,HTA,0.033,2,2,0,P001927,P005181,P010386,P010550,P013284
3,WOL,15.467,-8,27,35,P006546,P011248,P012003,P012577,P012789
3,WOL,3.867,-3,7,10,P006546,P008186,P011248,P012003,P012577
3,WOL,3.817,2,2,0,P004645,P005516,P006853,P008186,P012003
3,WOL,2.85,1,10,9,P004645,P006546,P008186,P011248,P012003
3,WOL,2.483,1,3,2,P003212,P004645,P005516,P006853,P008186
3,WOL,2.3,-5,0,5,P005516,P006546,P011248,P012577,P012789
3,WOL,2.067,5,7,2,P004645,P005516,P006546,P008186,P012003
3,WOL,1.917,2,4,2,P004645,P005516,P008186,P011248,P012003
3,WOL,1.9,-4,3,7,P004645,P005516,P006853,P011248,P012577
3,WOL,1.817,-5,0,5,P005516,P011248,P012003,P012577,P012789
3,WOL,0.783,0,3,3,P003212,P004645,P005516,P006853,P012577
3,WOL,0.5,0,0,0,P005516,P006853,P012003,P012577,P012789
3,WOL,0.117,0,0,0,P004645,P005516,P006546,P006853,P012003
3,WOL,0.117,3,3,0,P005516,P006546,P011248,P012003,P012577
3,BAH,9.367,4,22,18,P003840,P009601,P011192,P011821,P011823
3,BAH,6.467,6,17,11,P003840,P004172,P009601,P011821,P011823
3,BAH,5.15,3,12,9,P003840,P011192,P011821,P012405,P012711
3,BAH,2.983,-2,2,4,P003840,P011192,P011201,P011823,P012711
3,BAH,2.583,-3,4,7,P004172,P009601,P011201,P011821,P012405
3,BAH,2.417,-2,0,2,P004172,P011192,P011201,P012405,P012711
3,BAH,1.917,2,4,2,P003840,P004172,P011821,P011823,P012711
3,BAH,1.817,5,5,0,P003840,P011192,P011821,P011823,P012711
3,BAH,1.683,5,5,0,P003840,P004172,P011201,P011823,P012711
3,BAH,1.35,0,3,3,P003840,P009601,P011201,P011821,P012711
3,BAH,1.217,1,2,1,P003840,P004172,P009601,P011201,P011823
3,BAH,1.017,0,0,0,P003840,P004172,P011201,P012405,P012711
3,BAH,0.983,0,4,4,P003840,P004172,P009601,P011201,P012405
3,BAH,0.5,-2,0,2,P004172,P009601,P011192,P011821,P011823
3,BAH,0.317,-3,0,3,P003840,P011201,P011821,P012405,P012711
3,BAH,0.117,-3,0,3,P003840,P008278,P009601,P011201,P012711
3,BAH,0.117,0,0,0,P003840,P009601,P011192,P011201,P011821
4,BES,8.883,3,20,17,P008945,P010652,P011924,P011927,P013255
4,BES,5.883,1,11,10,P011379,P011924,P011927,P011936,P013255
4,BES,5.683,7,21,14,P003783,P007914,P008945,P009680,P010652
4,BES,4.367,7,13,6,P003783,P007914,P009680,P010652,P011936
4,BES,2.133,-1,6,7,P008945,P011379,P011924,P011927,P013255
4,BES,1.983,-3,2,5,P007914,P008945,P009680,P011379,P011936
4,BES,1.967,-2,0,2,P003783,P010652,P011927,P011936,P013255
4,BES,1.8,0,2,2,P003783,P007914,P010652,P011927,P011936
4,BES,1.75,-1,3,4,P003783,P007914,P008945,P009680,P011379
4,BES,1.3,4,4,0,P003783,P007914,P008945,P010652,P011927
4,BES,1.2,-1,2,3,P009680,P011924,P011927,P011936,P013255
