CODETEAM,PLAYER_ID,PLAYER
PMT,P011944,"AGADA, CALEB"
HAM,P012579,"HUGHES, MARK"
PMT,P001686,"LYPOVYY, OLEKSANDR"
PMT,P011066,"KEENE, MARCUS"
HAM,P012582,"DURHAM, ALJAMI"
PMT,P011823,"ODIASE, TAI"
HAM,P011168,"DZIEWA, ALEKSANDER"
HAM,P012581,"KING, VINCENT"
PMT,P012599,"REED, DAVON"
HAM,P012580,"CHRISTMAS, WILLIAM"
HAM,P011187,"MEISNER, LUKAS"
PMT,P012600,"MARCH, RONALD"
PMT,P002644,"BALVIN, ONDREJ"
PMT,P011966,"SYDOROV, ILLIA"
HAM,P012578,"GOMEZ, TERRELL"
HAM,P001990,"WOHLFARTH-BOTTERMANN, JONAS"
PMT,P011943,"TKACHENKO, IVAN"
HAM,P009663,"HINRICHS, SETH"
PMT,P002020,"BOBROV, VYACHESLAV"
HAM,P012648,"BRAUNER, NICO"
PMT,P011947,"SANON, ISSUF"
HAM,P012694,"KRAUSE, NIKLAS"
PMT,P012601,"VOINALOVYCH, ANDRII"
VNC,P011909,"PARKS, JORDAN"
LLI,P009649,"PHILLIP, TARIK"
LLI,P012586,"GRANTHAM, DONTE"
LLI,P012585,"MORGAN, MATTHEW"
LLI,P006600,"OLASENI, GABE"
VNC,P003759,"TESSITORI,  AMEDEO"
VNC,P012591,"TUCKER, RAYJON"
VNC,P004381,"SPISSU, MARCO"
LLI,P004479,"SOLUADE, MO"
VNC,P011928,"SIMMS, AAMIR"
LLI,P009680,"MORGAN, CONOR"
LLI,P005247,"TAYLOR, JORDAN"
VNC,P012587,"O'CONNELL, ALEXANDER"
VNC,P012590,"BROWN JR, BARRY"
LLI,P004773,"NELSON, LUKE"
LLI,P012020,"SHARMA, JOSH"
VNC,P004117,"BROOKS, JEFF"
VNC,P009400,"CASARIN, DAVIDE"
WOL,P002387,"ZUKAUSKAS, EIGIRDAS"
PRS,P005793,"SY, BANDJA"
PRS,P012611,"HERRERA, SEBASTIAN"
WOL,P004229,"GAGIC, DJORDJE"
PRS,P012608,"SHORTS, TJ"
WOL,P011150,"SULAIMON, RASHEED"
PRS,P012609,"MALCOLM, COLLIN"
PRS,P012640,"HIFI, NADIR"
PRS,P012610,"WARD, TYSON"
PRS,P004512,"KRATZER, LEON"
PRS,P012613,"JANTUNEN, MIKAEL"
WOL,P012577,"THURMAN, TRE'SHAWN"
WOL,P008104,"ZAGARS, ARTURS"
PRS,P003481,"KESSENS, MICHAEL"
WOL,P012576,"MEKOWULU, CHRISTIAN"
WOL,P005516,"ZEMAITIS, KRISTUPAS"
WOL,P006154,"BERUCKA, ARNAS"
WOL,P004645,"MINIOTAS, REGIMANTAS"
PRS,P011887,"DENIS, GAUTHIER"
WOL,P002333,"MOCKEVICIUS, EGIDIJUS"
PRS,P010801,"DIAWARA, MOHAMED"
WOL,P006907,"KOZYS, VITALIJUS"
PRS,P011551,"LOGUE, MAXIM"
LJU,P003452,"BLAZIC, JAKA"
HTA,P010465,"ANGOLA, BRAIAN"
HTA,P007759,"MUNFORD, XAVIER"
LJU,P012700,"STEWART, DJ"
HTA,P011991,"BROWN, J'COVAN"
LJU,P005969,"COBBS, JUSTIN"
LJU,P009395,"MATKOVIC, KARLO"
HTA,P010550,"GINAT, TOMER"
LJU,P012598,"SOW, AMADOU"
HTA,P003533,"ZALMANSON, IDAN"
HTA,P006835,"HOARD, JAYLEN"
LJU,P008883,"ARMAND, SEAN"
LJU,P010594,"SCUKA, LUKA"
HTA,P004846,"TIMOR, BAR"
LJU,P007066,"JONES, SHAWN"
LJU,P011261,"GLAS, GREGOR"
HTA,P011990,"BENI, GIL"
LJU,P002561,"RADICEVIC, NIKOLA"
HTA,P012028,"HAREL, EYAL"
LJU,P010771,"SHASHKOV, ALEXANDER"
HTA,P012592,"SHTERENBERG, GAL"
HTA,P012706,"RABINOWITZ, YONATAN"
BES,P008945,"NEEDHAM, DEREK"
JOV,P002361,"VIVES, GUILLEM"
JOV,P005094,"THOMAS, DESHAUN"
JOV,P002507,"TOMIC, ANTE"
JOV,P011248,"ANDREWS, ANDREW"
BES,P007917,"DURMAZ, BERKAN"
BES,P009582,"HAMMONDS, LEYTON"
BES,P011936,"MATHEWS, JONAH"
BES,P012647,"DELGADO, ANGEL"
JOV,P011247,"FELIZ, ANDRES"
JOV,P012076,"ONUAKU , CHINANU"
BES,P003783,"UGURLU, BERK"
JOV,P010166,"ALLEN, MIGUEL"
JOV,PJUG,"RIBAS, PAU"
BES,P007914,"ARSLAN, YIGIT"
BES,P011379,"KONAN, KEREM"
JOV,P010458,"BRODZIANSKY, VLADIMIR"
JOV,P010161,"KRAAG, YANNICK"
JOV,P010709,"RODRIGUEZ, JORDI"
BES,P011357,"YIGITOGLU, SAMET"
JOV,P006771,"BUSQUETS, PEP"
WRO,P005531,"NIZIOL, JAKUB"
BOU,P011837,"KOKILA, KEVIN"
BOU,P011836,"MIKE, ISIAHA"
WRO,P009896,"MILETIC, DUSAN"
WRO,P001694,"KULVIETIS, SAULIUS"
WRO,P012699,"GRAVETT, HASSANI"
WRO,P012735,"EVANS, JAWUN"
BOU,P010431,"MORGAN, JEREMY"
BOU,P012628,"BROWN, BRYCE"
BOU,P010449,"BENITEZ, HUGO"
WRO,P011900,"GOLEBIOWSKI, DANIEL"
WRO,P012736,"ZEBSKI, MATEUSZ"
WRO,P003034,"PARAKHOUSKI, ARTSIOM"
BOU,P004525,"SALASH, MAKSIM"
BOU,P012619,"OMENAKA, GODWIN"
BOU,P010718,"RISACHER, ZACCHARIE"
BOU,P011161,"JULIEN, AXEL"
BOU,P010450,"COURBY, MAXIME"
WRO,P012308,"PISLA, KUBA"
CLU,P011797,"GUZMAN, KAREL"
