Gamecode,CODETEAM,J1,TIME,DELTA_SCORE,OFF,DEF
1,TSO,P008790,16.1,8,40,32
1,TSO,P009649,40.901,-9,83,92
1,TSO,P012019,34.301,-7,64,71
1,TSO,P013293,32.467,5,72,67
1,TSO,P013295,31.35,-9,67,76
1,TSO,P013296,28.901,-11,53,64
1,TSO,P013297,13.651,6,26,20
1,TSO,P013298,27.334,2,60,58
1,ULM,P006245,14.716,12,33,21
1,ULM,P006997,24.717,11,51,40
1,ULM,P007952,6.816,-14,11,25
1,ULM,P010726,8.266,-5,18,23
1,ULM,P011391,27.065,-1,63,64
1,ULM,P011437,35.299,5,78,73
1,ULM,P012077,23.867,-10,50,60
1,ULM,P012602,12.932,1,24,23
1,ULM,P013289,9.849,1,21,20
1,ULM,P013290,39.917,6,85,79
1,ULM,P013291,21.551,9,46,37
2,HTA,P001927,33.782,-1,65,66
2,HTA,P005181,31.781,7,68,61
2,HTA,P009818,15.6,-10,23,33
2,HTA,P010386,18.399,-15,29,44
2,HTA,P010550,8.699,-2,12,14
2,HTA,P011157,19.949,-13,29,42
2,HTA,P011386,3.167,0,3,3
2,HTA,P012096,25.249,10,54,44
2,HTA,P013283,14.299,12,34,22
2,HTA,P013284,29.065,-3,58,61
2,JOV,P002361,18.899,-3,41,44
2,JOV,P002507,23.0,12,49,37
2,JOV,P004834,16.967,-7,29,36
2,JOV,P005099,19.518,-16,29,45
2,JOV,P010161,20.232,18,48,30
2,JOV,P012349,12.567,-14,16,30
2,JOV,P012740,17.435,-8,25,33
2,JOV,P013285,26.583,8,55,47
2,JOV,P013286,9.884,-2,14,16
2,JOV,P013287,27.149,15,62,47
2,JOV,PJUG,7.766,12,22,10
3,BAH,P003840,34.502,18,76,58
3,BAH,P004172,18.784,7,36,29
3,BAH,P008278,0.117,-3,0,3
3,BAH,P009601,22.701,3,52,49
3,BAH,P011192,22.351,6,41,35
3,BAH,P011201,14.784,-7,20,27
3,BAH,P011821,29.585,12,67,55
3,BAH,P011823,25.951,19,57,38
3,BAH,P012405,12.467,-5,20,25
3,BAH,P012711,18.768,5,31,26
3,WOL,P003212,3.266,1,6,5
3,WOL,P004645,15.934,7,32,25
3,WOL,P005516,17.818,-1,25,26
3,WOL,P006546,26.785,-7,54,61
3,WOL,P006853,9.6,-1,11,12
3,WOL,P008186,17.001,8,33,25
3,WOL,P011248,30.235,-19,54,73
3,WOL,P012003,32.536,-3,60,63
3,WOL,P012577,26.751,-22,43,65
3,WOL,P012789,20.084,-18,27,45
4,BES,P003783,17.217,14,44,30
4,BES,P007914,17.166,13,46,33
4,BES,P008945,23.383,9,60,51
4,BES,P009680,17.984,13,51,38
4,BES,P010652,25.301,21,64,43
4,BES,P011379,13.216,-1,27,28
4,BES,P011924,20.033,5,44,39
4,BES,P011927,23.399,3,46,43
4,BES,P011936,19.417,8,40,32
4,BES,P013255,22.884,5,48,43
4,BUD,P005637,18.267,-17,32,49
4,BUD,P006561,7.584,-10,9,19
4,BUD,P006566,15.7,-6,22,28
4,BUD,P008325,30.466,-10,63,73
4,BUD,P010307,3.316,-2,10,12
4,BUD,P011150,30.033,-6,61,67
4,BUD,P011281,20.466,-20,36,56
4,BUD,P012606,19.534,2,40,38
4,BUD,P012630,22.151,-10,43,53
4,BUD,P013256,21.733,-1,44,45
4,BUD,P013258,8.85,-12,16,28
4,BUD,P013259,1.9,2,4,2
5,CAN,P003425,26.2,5,54,49
5,CAN,P005005,4.783,0,9,9
5,CAN,P006588,22.417,8,48,40
5,CAN,P007560,7.167,-4,16,20
5,CAN,P008121,28.049,7,59,52
5,CAN,P008966,24.433,6,54,48
5,CAN,P010452,17.582,-5,36,41
5,CAN,P010623,13.799,-2,30,32
5,CAN,P011251,18.049,-4,36,40
5,CAN,P012016,15.566,-3,30,33
5,CAN,P012095,21.95,7,48,41
5,TRN,P005438,26.466,0,55,55
5,TRN,P006382,11.099,1,19,18
5,TRN,P006724,21.733,-1,48,49
5,TRN,P012593,27.85,-3,60,63
5,TRN,P012687,10.366,-6,22,28
5,TRN,P013269,20.766,-7,34,41
5,TRN,P013270,27.866,3,65,62
5,TRN,P013271,25.516,0,48,48
5,TRN,P013272,28.333,-2,54,56
6,JER,P006625,27.617,-9,45,54
6,JER,P009879,16.135,-8,17,25
6,JER,P010431,10.651,-2,20,22
6,JER,P010587,30.318,-15,45,60
6,JER,P011970,27.584,-8,54,62
6,JER,P013276,14.702,-19,13,32
6,JER,P013277,19.951,-7,33,40
6,JER,P013278,24.233,1,46,45
6,JER,P013279,19.702,-5,35,40
6,JER,P013281,9.117,-8,12,20
6,PAM,P004863,18.2,18,38,20
6,PAM,P005356,16.616,-10,27,37
6,PAM,P006643,17.8,20,40,20
6,PAM,P007527,21.917,-2,42,44
6,PAM,P009864,8.433,-5,13,18
6,PAM,P010042,23.267,26,53,27
6,PAM,P010393,21.65,13,47,34
6,PAM,P010444,16.883,17,38,21
6,PAM,P011980,16.666,-1,29,30
6,PAM,P011982,23.884,0,44,44
6,PAM,P012738,14.684,4,29,25
7,BOU,P004525,21.45,14,53,39
7,BOU,P004945,13.867,9,35,26
7,BOU,P006904,19.684,-8,42,50
7,BOU,P009552,19.166,8,49,41
7,BOU,P009556,14.85,7,38,31
7,BOU,P010449,20.316,28,58,30
7,BOU,P011837,18.151,12,44,32
7,BOU,P013264,21.233,6,54,48
7,BOU,P013265,26.133,11,65,54
7,BOU,P013266,25.15,13,62,49
7,HAM,P003242,25.067,-9,51,60
7,HAM,P006006,19.7,-7,42,49
7,HAM,P006420,14.934,-9,30,39
7,HAM,P008103,16.55,-11,34,45
7,HAM,P010070,6.016,-5,11,16
7,HAM,P011256,15.482,-19,20,39
7,HAM,P012695,12.466,0,29,29
7,HAM,P013308,25.084,-10,53,63
7,HAM,P013309,14.884,-5,32,37
7,HAM,P013311,18.534,-1,44,45
7,HAM,P013312,16.233,-15,28,43
7,HAM,P013313,15.05,-9,26,35
8,CLU,P002820,24.349,-4,50,54
8,CLU,P004862,11.501,-6,28,34
8,CLU,P005714,15.734,-6,33,39
8,CLU,P006618,11.484,-1,27,28
8,CLU,P010651,32.533,-7,70,77
8,CLU,P011801,12.416,0,28,28
8,CLU,P012620,8.883,-2,18,20
8,CLU,P012698,26.5,-10,52,62
8,CLU,P013302,30.667,2,68,66
8,CLU,P013304,25.933,-1,56,57
8,LJU,P003452,19.899,-7,39,46
8,LJU,P003703,18.068,8,45,37
8,LJU,P009392,5.601,3,11,8
8,LJU,P009753,13.167,8,30,22
8,LJU,P012042,28.683,5,68,63
8,LJU,P012700,28.55,1,66,65
8,LJU,P012996,23.984,2,56,54
8,LJU,P013260,22.15,2,51,49
8,LJU,P013261,25.735,14,67,53
8,LJU,P013262,11.318,2,25,23
8,LJU,P013263,2.85,-3,7,10
9,ARI,P003240,21.183,-10,37,47
9,ARI,P004292,22.415,-10,37,47
9,ARI,P008084,28.865,-19,51,70
9,ARI,P013248,17.068,-6,38,44
9,ARI,P013249,22.033,-18,31,49
9,ARI,P013250,21.267,-5,50,55
9,ARI,P013251,17.165,-9,35,44
9,ARI,P013252,14.516,2,31,29
9,ARI,P013355,5.099,-11,3,14
9,ARI,P013356,20.568,-5,42,47
9,ARI,P013360,9.816,-9,20,29
9,VNC,P003759,14.999,20,42,22
9,VNC,P005404,13.0,-1,31,32
9,VNC,P006571,4.55,0,9,9
9,VNC,P007759,29.049,24,72,48
9,VNC,P008858,28.617,20,67,47
9,VNC,P009400,9.832,-1,22,23
9,VNC,P011909,28.532,17,70,53
9,VNC,P011928,26.0,17,61,44
9,VNC,P012796,25.0,0,53,53
9,VNC,P013305,20.416,4,48,44
10,LKB,P005521,25.317,-2,46,48
10,LKB,P005656,25.365,1,46,45
10,LKB,P006586,31.517,10,58,48
10,LKB,P006860,14.466,-12,17,29
10,LKB,P009299,20.317,-7,33,40
10,LKB,P009898,17.033,-12,20,32
