Gamecode,CODETEAM,J1,J2,TIME,DELTA_SCORE,OFF,DEF
1,TSO,P008790,P009649,12.6,4,32,28
1,TSO,P008790,P012019,13.767,5,33,28
1,TSO,P008790,P013293,8.533,7,23,16
1,TSO,P008790,P013295,7.683,-3,20,23
1,TSO,P008790,P013297,8.417,11,20,9
1,TSO,P008790,P013298,13.4,8,32,24
1,TSO,P009649,P012019,30.201,-13,54,67
1,TSO,P009649,P013293,28.367,-1,62,63
1,TSO,P009649,P013295,30.667,-10,64,74
1,TSO,P009649,P013296,28.301,-13,51,64
1,TSO,P009649,P013297,10.234,1,19,18
1,TSO,P009649,P013298,23.234,-4,50,54
1,TSO,P012019,P013293,21.767,1,43,42
1,TSO,P012019,P013295,22.633,-10,43,53
1,TSO,P012019,P013296,20.534,-12,31,43
1,TSO,P012019,P013297,11.668,3,21,18
1,TSO,P012019,P013298,16.634,-2,31,33
1,TSO,P013293,P013295,25.25,-1,58,59
1,TSO,P013293,P013296,23.934,-2,49,51
1,TSO,P013293,P013297,7.217,6,14,8
1,TSO,P013293,P013298,14.8,10,39,29
1,TSO,P013295,P013296,23.667,-6,47,53
1,TSO,P013295,P013298,15.5,-6,36,42
1,TSO,P013296,P013297,5.234,-5,6,11
1,TSO,P013296,P013298,13.934,-6,28,34
1,TSO,P013297,P013298,11.834,8,24,16
1,ULM,P006245,P006997,12.383,11,30,19
1,ULM,P006245,P007952,1.433,0,0,0
1,ULM,P006245,P010726,0.85,0,2,2
1,ULM,P006245,P011391,5.899,7,13,6
1,ULM,P006245,P011437,8.366,8,24,16
1,ULM,P006245,P012077,0.3,0,0,0
1,ULM,P006245,P012602,5.433,6,9,3
1,ULM,P006245,P013289,0.4,2,2,0
1,ULM,P006245,P013290,14.483,10,31,21
1,ULM,P006245,P013291,9.317,4,21,17
1,ULM,P006997,P010726,1.467,-2,0,2
1,ULM,P006997,P011391,8.883,9,22,13
1,ULM,P006997,P011437,20.7,8,45,37
1,ULM,P006997,P012077,10.017,-1,18,19
1,ULM,P006997,P012602,4.867,6,9,3
1,ULM,P006997,P013289,0.45,-3,0,3
1,ULM,P006997,P013290,24.717,11,51,40
1,ULM,P006997,P013291,15.384,5,29,24
1,ULM,P007952,P010726,1.9,-5,7,12
1,ULM,P007952,P011391,6.816,-14,11,25
1,ULM,P007952,P011437,3.483,-9,4,13
1,ULM,P007952,P012077,5.383,-14,11,25
1,ULM,P007952,P012602,3.066,-6,2,8
1,ULM,P007952,P013290,5.183,-8,9,17
1,ULM,P010726,P011391,4.699,-5,14,19
1,ULM,P010726,P011437,4.066,1,7,6
1,ULM,P010726,P012077,5.7,-8,11,19
1,ULM,P010726,P012602,1.099,5,7,2
1,ULM,P010726,P013289,4.899,2,11,9
1,ULM,P010726,P013290,4.817,-8,9,17
1,ULM,P010726,P013291,3.567,0,4,4
1,ULM,P011391,P011437,20.849,4,51,47
1,ULM,P011391,P012077,15.6,-9,37,46
1,ULM,P011391,P012602,10.065,-4,18,22
1,ULM,P011391,P013289,7.299,2,17,15
1,ULM,P011391,P013290,24.083,4,56,52
1,ULM,P011391,P013291,4.067,2,13,11
1,ULM,P011437,P012077,20.75,-2,43,45
1,ULM,P011437,P012602,6.966,-7,13,20
1,ULM,P011437,P013289,7.999,0,17,17
1,ULM,P011437,P013290,30.45,10,69,59
1,ULM,P011437,P013291,17.567,7,39,32
1,ULM,P012077,P012602,1.633,-6,2,8
1,ULM,P012077,P013289,5.35,-1,9,10
1,ULM,P012077,P013290,19.351,-4,44,48
1,ULM,P012077,P013291,11.384,5,25,20
1,ULM,P012602,P013289,4.499,2,12,10
1,ULM,P012602,P013290,10.733,4,17,13
1,ULM,P012602,P013291,3.367,4,7,3
1,ULM,P013289,P013290,6.4,-2,12,14
1,ULM,P013289,P013291,2.1,2,4,2
1,ULM,P013290,P013291,19.451,7,42,35
2,HTA,P001927,P005181,25.565,9,58,49
2,HTA,P001927,P009818,11.15,-10,16,26
2,HTA,P001927,P010386,16.633,-13,26,39
2,HTA,P001927,P010550,8.699,-2,12,14
2,HTA,P001927,P011157,19.416,-13,29,42
2,HTA,P001927,P011386,3.167,0,3,3
2,HTA,P001927,P012096,19.566,12,44,32
2,HTA,P001927,P013283,8.083,14,24,10
2,HTA,P001927,P013284,22.849,-1,48,49
2,HTA,P005181,P009818,11.433,-3,19,22
2,HTA,P005181,P010386,12.782,-5,25,30
2,HTA,P005181,P010550,4.899,0,9,9
2,HTA,P005181,P011157,13.499,-6,22,28
2,HTA,P005181,P011386,0.567,0,0,0
2,HTA,P005181,P012096,21.232,13,51,38
2,HTA,P005181,P013283,12.532,15,34,19
2,HTA,P005181,P013284,24.615,5,54,49
2,HTA,P009818,P010386,4.167,-7,4,11
2,HTA,P009818,P011157,10.967,-10,16,26
2,HTA,P009818,P012096,4.633,0,7,7
2,HTA,P009818,P013283,4.45,0,7,7
2,HTA,P009818,P013284,15.6,-10,23,33
2,HTA,P010386,P010550,4.416,2,9,7
2,HTA,P010386,P011157,8.983,-12,9,21
2,HTA,P010386,P012096,10.45,-5,20,25
2,HTA,P010386,P013283,3.216,-5,3,8
2,HTA,P010386,P013284,12.949,-15,20,35
2,HTA,P010550,P011157,2.966,-2,3,5
2,HTA,P010550,P011386,3.167,0,3,3
2,HTA,P010550,P012096,8.633,-4,10,14
2,HTA,P010550,P013283,1.95,-4,0,4
2,HTA,P010550,P013284,0.066,2,2,0
2,HTA,P011157,P011386,2.283,0,3,3
2,HTA,P011157,P012096,5.266,2,10,8
2,HTA,P011157,P013283,1.733,4,5,1
2,HTA,P011157,P013284,14.683,-15,19,34
2,HTA,P011386,P012096,3.167,0,3,3
2,HTA,P011386,P013283,0.317,0,0,0
2,HTA,P012096,P013283,13.733,12,34,22
2,HTA,P012096,P013284,14.316,10,37,27
2,HTA,P013283,P013284,11.182,12,29,17
2,JOV,P002361,P002507,13.883,4,31,27
2,JOV,P002361,P004834,4.983,-5,10,15
2,JOV,P002361,P005099,6.85,-15,9,24
2,JOV,P002361,P010161,11.799,11,31,20
2,JOV,P002361,P012349,1.15,-9,0,9
2,JOV,P002361,P012740,1.117,-7,0,7
2,JOV,P002361,P013285,15.049,0,32,32
2,JOV,P002361,P013287,17.782,4,41,37
2,JOV,P002361,PJUG,2.983,5,10,5
2,JOV,P002507,P005099,8.934,-5,14,19
2,JOV,P002507,P010161,13.816,16,34,18
2,JOV,P002507,P012349,4.017,1,6,5
2,JOV,P002507,P012740,4.334,1,6,5
2,JOV,P002507,P013285,22.0,12,49,37
2,JOV,P002507,P013286,1.317,0,0,0
2,JOV,P002507,P013287,18.666,11,43,32
2,JOV,P002507,PJUG,5.033,8,13,5
2,JOV,P004834,P005099,10.584,-11,15,26
