Gamecode,CODETEAM,J1,J2,J3,TIME,DELTA_SCORE,OFF,DEF
1,TSO,P008790,P009649,P012019,10.267,1,25,24
1,TSO,P008790,P009649,P013293,5.033,3,15,12
1,TSO,P008790,P009649,P013295,7.0,-4,17,21
1,TSO,P008790,P009649,P013297,5.6,8,15,7
1,TSO,P008790,P009649,P013298,9.9,4,24,20
1,TSO,P008790,P012019,P013293,6.2,4,16,12
1,TSO,P008790,P012019,P013295,7.333,-3,18,21
1,TSO,P008790,P012019,P013297,6.434,8,15,7
1,TSO,P008790,P012019,P013298,11.067,5,25,20
1,TSO,P008790,P013293,P013295,3.733,1,13,12
1,TSO,P008790,P013293,P013297,4.8,6,10,4
1,TSO,P008790,P013293,P013298,5.833,7,15,8
1,TSO,P008790,P013295,P013298,4.983,-3,12,15
1,TSO,P008790,P013297,P013298,8.417,11,20,9
1,TSO,P009649,P012019,P013293,17.667,-5,33,38
1,TSO,P009649,P012019,P013295,21.95,-11,40,51
1,TSO,P009649,P012019,P013296,19.934,-14,29,43
1,TSO,P009649,P012019,P013297,8.251,-2,14,16
1,TSO,P009649,P012019,P013298,12.534,-8,21,29
1,TSO,P009649,P013293,P013295,24.567,-2,55,57
1,TSO,P009649,P013293,P013296,23.334,-4,47,51
1,TSO,P009649,P013293,P013297,3.8,1,7,6
1,TSO,P009649,P013293,P013298,10.7,4,29,25
1,TSO,P009649,P013295,P013296,23.667,-6,47,53
1,TSO,P009649,P013295,P013298,14.817,-7,33,40
1,TSO,P009649,P013296,P013297,4.634,-7,4,11
1,TSO,P009649,P013296,P013298,13.334,-8,26,34
1,TSO,P009649,P013297,P013298,8.417,3,17,14
1,TSO,P012019,P013293,P013295,16.533,-2,34,36
1,TSO,P012019,P013293,P013296,15.567,-3,27,30
1,TSO,P012019,P013293,P013297,5.234,3,9,6
1,TSO,P012019,P013293,P013298,4.1,6,10,4
1,TSO,P012019,P013295,P013296,15.3,-7,25,32
1,TSO,P012019,P013295,P013298,6.783,-7,12,19
1,TSO,P012019,P013296,P013297,5.234,-5,6,11
1,TSO,P012019,P013296,P013298,5.567,-7,6,13
