GAMECODE,CODETEAM,joueur_1,TIME,DELTA_SCORE,OFF,DEF
1,RED,P006436,0 days 00:27:51,24,77,53
1,RED,P005099,0 days 00:22:21,4,42,38
1,RED,P002553,0 days 00:21:32,20,58,38
1,RED,P011224,0 days 00:20:40,20,58,38
1,RED,P012711,0 days 00:18:22,8,46,38
1,RED,P000848,0 days 00:16:57,3,31,28
1,RED,PJDR,0 days 00:14:37,6,29,23
1,RED,P011964,0 days 00:14:33,-1,25,26
1,RED,P008966,0 days 00:13:04,3,20,17
1,RED,PLUO,0 days 00:12:46,7,36,29
1,RED,P003479,0 days 00:12:13,12,39,27
1,RED,P004720,0 days 00:05:04,-1,9,10
1,ASV,P012080,0 days 00:29:57,-20,58,78
1,ASV,P011225,0 days 00:29:42,-14,57,71
1,ASV,P002100,0 days 00:25:37,-25,49,74
1,ASV,P012730,0 days 00:24:34,-14,48,62
1,ASV,P004194,0 days 00:22:39,-17,45,62
1,ASV,P012729,0 days 00:22:22,-6,38,44
1,ASV,P012732,0 days 00:15:59,1,26,25
1,ASV,P012731,0 days 00:12:28,-2,22,24
1,ASV,P006568,0 days 00:10:25,-5,15,20
1,ASV,P011386,0 days 00:06:17,-3,7,10
2,BAR,P006435,0 days 00:24:43,7,54,47
2,BAR,P002939,0 days 00:23:26,7,54,47
2,BAR,P000925,0 days 00:21:58,14,47,33
2,BAR,P004866,0 days 00:21:30,6,48,42
2,BAR,P011244,0 days 00:20:08,3,51,48
2,BAR,P012745,0 days 00:17:54,8,38,30
2,BAR,P007519,0 days 00:16:34,10,37,27
2,BAR,P003196,0 days 00:16:05,1,38,37
2,BAR,P003478,0 days 00:15:56,15,37,22
2,BAR,P009992,0 days 00:14:00,13,35,22
2,BAR,P007464,0 days 00:07:46,1,16,15
2,IST,P007200,0 days 00:32:28,-10,59,69
2,IST,P004888,0 days 00:27:33,-14,53,67
2,IST,P009664,0 days 00:26:57,-13,45,58
2,IST,P011078,0 days 00:26:18,-2,56,58
2,IST,P011981,0 days 00:19:26,-16,31,47
2,IST,P004554,0 days 00:18:28,1,39,38
2,IST,P009846,0 days 00:16:25,-13,29,42
2,IST,P006590,0 days 00:15:30,-15,21,36
2,IST,P006372,0 days 00:10:02,-3,21,24
2,IST,PLHK,0 days 00:03:41,7,14,7
2,IST,P009513,0 days 00:03:12,-7,2,9
3,MUN,P007056,0 days 00:30:57,8,57,49
3,MUN,P006760,0 days 00:25:52,0,44,44
3,MUN,P010391,0 days 00:25:35,22,56,34
3,MUN,P008985,0 days 00:21:17,13,42,29
3,MUN,P004508,0 days 00:19:39,7,41,34
3,MUN,P007975,0 days 00:18:43,-1,38,39
3,MUN,P011987,0 days 00:17:58,-12,32,44
3,MUN,P003583,0 days 00:17:57,6,34,28
3,MUN,P005478,0 days 00:11:53,8,30,22
3,MUN,P011941,0 days 00:07:49,12,21,9
3,MUN,P007639,0 days 00:02:20,-3,5,8
3,BER,P012720,0 days 00:28:33,-3,53,56
3,BER,P006919,0 days 00:26:01,10,52,42
3,BER,P003958,0 days 00:25:37,-5,39,44
3,BER,P008967,0 days 00:23:18,4,45,41
3,BER,P008173,0 days 00:17:11,-14,29,43
3,BER,P007550,0 days 00:16:53,-7,26,33
3,BER,P012721,0 days 00:16:18,-12,29,41
3,BER,P008384,0 days 00:15:52,-12,25,37
3,BER,P008211,0 days 00:13:32,-3,23,26
3,BER,P007025,0 days 00:09:32,-6,11,17
3,BER,P006819,0 days 00:07:13,-12,8,20
4,TEL,P009622,0 days 00:24:57,14,61,47
4,TEL,P007990,0 days 00:22:31,16,61,45
4,TEL,P012744,0 days 00:22:28,7,50,43
4,TEL,P009783,0 days 00:21:50,19,54,35
4,TEL,P011219,0 days 00:21:23,1,48,47
4,TEL,P011193,0 days 00:20:12,6,50,44
4,TEL,P011971,0 days 00:15:32,4,37,33
4,TEL,P011199,0 days 00:15:24,11,37,26
4,TEL,P005145,0 days 00:15:11,14,39,25
4,TEL,P011214,0 days 00:13:56,-8,31,39
4,TEL,P004233,0 days 00:06:36,-9,12,21
4,PAR,P008987,0 days 00:26:04,-18,46,64
4,PAR,P003983,0 days 00:25:52,-7,56,63
4,PAR,P011051,0 days 00:25:19,1,53,52
4,PAR,P009862,0 days 00:24:31,-21,38,59
4,PAR,P007400,0 days 00:23:49,-5,54,59
4,PAR,P012742,0 days 00:19:05,2,43,41
4,PAR,P007673,0 days 00:14:06,0,33,33
4,PAR,P004058,0 days 00:13:14,-7,22,29
4,PAR,P011050,0 days 00:11:09,-11,20,31
4,PAR,P012743,0 days 00:06:19,-5,15,20
4,PAR,P000956,0 days 00:05:37,5,16,11
4,PAR,P004172,0 days 00:04:55,-9,9,18
5,VIR,P001133,0 days 00:31:01,-1,66,67
5,VIR,P009549,0 days 00:28:53,-7,58,65
5,VIR,P001844,0 days 00:28:38,-19,46,65
5,VIR,P008847,0 days 00:25:14,11,58,47
5,VIR,P004007,0 days 00:24:44,9,56,47
5,VIR,PBCN,0 days 00:14:40,-9,23,32
5,VIR,P011192,0 days 00:11:46,0,21,21
5,VIR,P006739,0 days 00:11:22,16,33,17
5,VIR,P002084,0 days 00:10:40,-8,13,21
5,VIR,P003048,0 days 00:07:42,-3,10,13
5,VIR,P012714,0 days 00:05:20,-4,11,15
5,ZAL,P002329,0 days 00:28:19,4,59,55
5,ZAL,P010390,0 days 00:27:31,21,63,42
5,ZAL,P011218,0 days 00:27:22,10,59,49
5,ZAL,P003211,0 days 00:26:38,22,64,42
5,ZAL,P007109,0 days 00:25:55,6,52,46
5,ZAL,P002676,0 days 00:20:04,-6,36,42
5,ZAL,P012715,0 days 00:15:31,-4,31,35
5,ZAL,P011965,0 days 00:11:56,-3,24,27
5,ZAL,P005504,0 days 00:08:48,-22,9,31
5,ZAL,P003210,0 days 00:07:47,-10,13,23
5,ZAL,P007513,0 days 00:00:09,-3,0,3
6,ULK,P010560,0 days 00:33:01,-3,61,64
6,ULK,P005844,0 days 00:31:34,6,62,56
6,ULK,P006661,0 days 00:31:07,6,58,52
6,ULK,P008962,0 days 00:30:42,1,63,62
6,ULK,P009849,0 days 00:30:25,1,59,58
6,ULK,P004004,0 days 00:18:38,1,34,33
6,ULK,P011052,0 days 00:13:37,-4,26,30
6,ULK,P011157,0 days 00:13:18,-6,20,26
6,ULK,P011980,0 days 00:08:33,0,13,13
6,ULK,P001932,0 days 00:07:56,7,16,9
6,ULK,P002968,0 days 00:06:02,4,11,7
6,ULK,P002969,0 days 00:00:07,2,2,0
6,MIL,P007831,0 days 00:37:19,5,71,66
6,MIL,P000796,0 days 00:35:43,-11,65,76
6,MIL,P007201,0 days 00:32:45,-2,63,65
6,MIL,P002849,0 days 00:28:12,6,53,47
6,MIL,P006433,0 days 00:27:31,0,46,46
6,MIL,P006509,0 days 00:17:31,-2,30,32
6,MIL,P005670,0 days 00:15:53,-1,33,34
6,MIL,P002812,0 days 00:14:30,1,29,28
6,MIL,P009960,0 days 00:12:57,-6,17,23
6,MIL,P006701,0 days 00:02:31,-3,3,6
6,MIL,P001518,0 days 00:00:08,-2,0,2
7,PAN,P012712,0 days 00:43:12,-15,73,88
7,PAN,P003842,0 days 00:33:40,-6,58,64
7,PAN,P011204,0 days 00:32:30,-7,57,64
7,PAN,P001926,0 days 00:31:12,-1,55,56
7,PAN,P002328,0 days 00:30:23,-10,55,65
7,PAN,P007947,0 days 00:21:13,-17,27,44
7,PAN,P007553,0 days 00:12:27,-9,20,29
7,PAN,P011826,0 days 00:11:28,5,28,23
7,PAN,P008084,0 days 00:08:03,10,17,7
7,PAN,P011209,0 days 00:00:26,0,0,0
7,PAN,P011221,0 days 00:00:26,0,0,0
7,OLY,P008855,0 days 00:38:45,20,82,62
7,OLY,P008829,0 days 00:36:50,21,78,57
7,OLY,P003941,0 days 00:35:34,18,75,57
7,OLY,P010612,0 days 00:31:49,18,69,51
7,OLY,P007982,0 days 00:27:13,5,49,44
7,OLY,P001255,0 days 00:26:18,-8,51,59
7,OLY,P010392,0 days 00:11:55,-6,17,23
7,OLY,P006589,0 days 00:10:00,-8,13,21
7,OLY,P007853,0 days 00:06:15,-10,6,16
7,OLY,P006302,0 days 00:00:21,0,0,0
8,BAS,P007230,0 days 00:27:18,0,48,48
8,BAS,P008072,0 days 00:23:56,7,51,44
8,BAS,P012201,0 days 00:23:36,-5,41,46
8,BAS,P011948,0 days 00:23:25,5,48,43
8,BAS,P010444,0 days 00:21:14,-1,40,41
8,BAS,P009048,0 days 00:19:47,-2,39,41
8,BAS,P011064,0 days 00:19:00,6,38,32
8,BAS,P004761,0 days 00:16:14,-7,29,36
8,BAS,P011085,0 days 00:12:35,-2,29,31
8,BAS,P004603,0 days 00:11:14,-5,22,27
8,BAS,P008850,0 days 00:01:41,-6,0,6
8,MAD,P010357,0 days 00:34:50,9,70,61
8,MAD,P004887,0 days 00:24:56,3,47,44
8,MAD,P006540,0 days 00:23:29,-10,42,52
8,MAD,P005928,0 days 00:22:44,4,44,40
8,MAD,PTGB,0 days 00:20:39,-4,42,46
8,MAD,P001392,0 days 00:19:49,6,37,31
8,MAD,PBMT,0 days 00:17:38,11,39,28
8,MAD,PCVM,0 days 00:17:16,-2,35,37
8,MAD,P003108,0 days 00:10:17,-1,26,27
8,MAD,P010868,0 days 00:06:09,-2,9,11
8,MAD,P003733,0 days 00:02:13,-4,4,8
9,PAM,P012740,0 days 00:25:23,4,43,39
9,PAM,P010568,0 days 00:25:08,-1,40,41
9,PAM,P011982,0 days 00:21:44,6,43,37
9,PAM,P003960,0 days 00:20:13,-9,26,35
9,PAM,P004863,0 days 00:19:24,16,40,24
9,PAM,P012739,0 days 00:18:26,-4,30,34
9,PAM,P012738,0 days 00:17:01,13,39,26
9,PAM,P006643,0 days 00:15:24,-6,24,30
9,PAM,P007870,0 days 00:15:07,-2,22,24
9,PAM,P010393,0 days 00:09:29,8,21,13
9,PAM,P011970,0 days 00:08:24,-1,17,18
9,PAM,P000556,0 days 00:04:17,1,5,4
9,MCO,P005985,0 days 00:33:34,6,60,54
9,MCO,P010588,0 days 00:32:15,11,60,49
9,MCO,P011212,0 days 00:29:27,1,51,50
9,MCO,P011226,0 days 00:24:10,-13,33,46
9,MCO,PLCZ,0 days 00:23:34,18,45,27
9,MCO,P011231,0 days 00:18:00,-13,26,39
9,MCO,P012515,0 days 00:11:05,1,17,16
9,MCO,P011196,0 days 00:10:06,-13,10,23
9,MCO,P008099,0 days 00:10:05,-17,10,27
9,MCO,P004790,0 days 00:07:44,-6,13,19
10,BER,P003958,0 days 00:24:46,-7,47,54
10,BER,P006919,0 days 00:23:58,-12,40,52
10,BER,P008967,0 days 00:23:52,-9,49,58
10,BER,P008173,0 days 00:22:57,3,56,53
10,BER,P012720,0 days 00:20:47,-13,38,51
10,BER,P008384,0 days 00:19:28,8,52,44
10,BER,P006251,0 days 00:17:19,6,48,42
10,BER,P007550,0 days 00:17:03,-8,30,38
10,BER,P012721,0 days 00:13:57,3,37,34
10,BER,P008211,0 days 00:11:51,7,27,20
10,BER,P006819,0 days 00:04:02,-3,6,9
10,BAS,P007230,0 days 00:28:57,12,67,55
10,BAS,P009048,0 days 00:26:51,1,53,52
10,BAS,P010444,0 days 00:24:31,11,52,41
10,BAS,P012201,0 days 00:22:37,-11,53,64
10,BAS,P004761,0 days 00:22:35,2,54,52
10,BAS,P011948,0 days 00:20:57,-2,41,43
10,BAS,P004603,0 days 00:18:11,-6,43,49
10,BAS,P011064,0 days 00:16:11,2,44,42
10,BAS,P008072,0 days 00:14:19,15,33,18
10,BAS,P011085,0 days 00:04:51,1,15,14
11,IST,P011078,0 days 00:32:29,-10,68,78
11,IST,P007200,0 days 00:23:53,-45,33,78
11,IST,P004554,0 days 00:23:08,0,53,53
11,IST,P006372,0 days 00:22:31,3,51,48
11,IST,P006590,0 days 00:21:53,4,53,49
11,IST,P009664,0 days 00:21:37,-7,48,55
11,IST,P004888,0 days 00:17:14,-30,26,56
11,IST,P011981,0 days 00:15:10,-18,25,43
11,IST,PLHK,0 days 00:11:09,-14,19,33
11,IST,P009513,0 days 00:09:25,2,22,20
11,IST,P012415,0 days 00:01:31,0,2,2
11,MAD,P005928,0 days 00:26:35,40,83,43
11,MAD,P010357,0 days 00:26:18,22,74,52
11,MAD,P001392,0 days 00:26:08,32,76,44
11,MAD,P003108,0 days 00:22:16,5,54,49
11,MAD,P006540,0 days 00:21:44,22,58,36
11,MAD,P004887,0 days 00:19:02,1,45,44
