RANK,CODETEAM,PLAYER,PLAYER_ID,NB_GAME,TIME_ON,PER,IRS,NOTE
1,BAR,"VESELY, JAN",P000925,33,713.25,357.55,13.39,89.0
2,BAS,"MONEKE, CHIMA",P012201,33,832.41,384.65,13.33,88.9
3,TEL,"NEBO, JOSH",P011199,33,768.53,362.74,13.08,88.5
4,MCO,"JAMES, MIKE",P005985,34,1063.44,397.49,12.19,87.2
5,ZAL,"EVANS, KEENAN",P011218,34,930.2,366.05,12.0,86.9
6,PAN,"LESSORT, MATHIAS",P003842,34,980.92,372.21,11.88,86.7
7,IST,"LARKIN, SHANE",P007200,34,1062.37,380.15,11.66,86.4
8,MAD,"POIRIER, VINCENT",P004887,32,596.16,278.14,11.39,86.0
9,MAD,"CAMPAZZO, FACUNDO",P005928,32,795.51,307.5,10.9,85.2
10,MAD,"MUSA, DZANAN",P006540,33,687.95,283.84,10.82,85.1
11,MAD,"HEZONJA, MARIO",P003108,33,732.97,282.7,10.44,84.5
12,MIL,"MIROTIC, NIKOLA",P000796,21,556.97,244.24,10.35,84.4
13,TEL,"COLSON, BONZIE",P009783,34,953.36,318.11,10.3,84.3
14,OLY,"PETERS, ALEC",P008829,33,857.21,299.69,10.24,84.2
15,BAR,"HERNANGOMEZ, WILLY",P003196,33,535.13,235.9,10.2,84.2
16,BER,"THIEMANN, JOHANNES",P003958,29,726.97,273.09,10.13,84.1
17,RED,"BOLOMBOY, JOEL",P009035,33,840.9399999999999,288.95,9.96,83.8
18,ASV,"FALL, YOUSSOUPHA",P006568,31,611.14,241.6,9.77,83.5
19,VIR,"SHENGELIA, TORNIKE",P001133,31,860.02,281.35,9.59,83.2
20,OLY,"MILUTINOV, NIKOLA",P003941,21,399.49,191.0,9.56,83.2
21,MAD,"TAVARES, WALTER",P005791,29,648.91,241.85,9.49,83.1
22,RED,"MITROVIC, LUKA",P002553,31,608.92,232.2,9.41,83.0
23,PAN,"MITOGLOU, KONSTANTINOS",P007866,31,886.79,279.2,9.38,82.9
24,ULK,"HAYES-DAVIS, NIGEL",P008962,30,938.7,285.3,9.31,82.8
25,TEL,"BALDWIN IV, WADE",P009863,27,762.54,257.6,9.33,82.8
26,MUN,"IBAKA, SERGE",P003583,28,686.38,242.85,9.27,82.8
27,OLY,"FALL, MOUSTAPHA",P008811,29,677.6,242.3,9.31,82.8
28,PAM,"OJELEYE, SEMI",P011982,27,598.96,227.59,9.3,82.8
29,MIL,"SHIELDS, SHAVON",P007831,29,882.78,272.34,9.17,82.6
30,BAS,"SEDEKERSKIS, TADAS",P007230,30,823.23,260.15,9.07,82.5
31,ULK,"WILBEKIN, SCOTTIE",P006661,34,840.65,261.36,9.01,82.4
32,MCO,"HALL, DONTA",P011196,33,470.51,189.35,8.73,81.9
33,PAN,"SLOUKAS, KOSTAS",P001926,27,714.56,230.65,8.63,81.8
34,MAD,"YABUSELE, GUERSCHON",P010357,22,510.61,194.31,8.6,81.7
35,PAM,"JONES, CHRIS",P010568,33,851.24,244.61,8.38,81.4
36,ULK,"MOTLEY, JOHNATHAN",P011157,33,644.5,210.35,8.29,81.3
37,IST,"JONES, TYRIQUE",P011981,33,574.24,198.51,8.28,81.3
38,ASV,"LEE, PARIS",P011225,33,918.48,243.75,8.04,80.9
39,PAR,"KAMINSKY, FRANK",P012743,30,516.42,181.6,7.99,80.8
40,RED,"NEDOVIC, NEMANJA",P000848,30,643.01,197.65,7.79,80.5
41,MCO,"DIALLO, ALPHA",P011226,33,888.11,227.69,7.64,80.3
42,MUN,"FRANCISCO, SYLVAIN",P007975,33,637.59,192.7,7.63,80.3
