CODETEAM,PLAYER,PLAYER_ID,ROUND,TIME_ON,PER
ASV,"JACKSON, EDWIN",P000229,2,12.73,2.9499889999999995
ASV,"JACKSON, EDWIN",P000229,3,3.4,-0.89998
ASV,"JACKSON, EDWIN",P000229,4,1.03,-0.9483075000000001
ASV,"JACKSON, EDWIN",P000229,5,4.05,0.4997975
ASV,"JACKSON, EDWIN",P000229,6,4.12,-0.4005480000000001
ASV,"JACKSON, EDWIN",P000229,9,9.63,-1.7001765
ASV,"JACKSON, EDWIN",P000229,10,19.32,3.7999160000000005
ASV,"JACKSON, EDWIN",P000229,11,19.67,4.250829
ASV,"JACKSON, EDWIN",P000229,12,22.93,4.601330500000001
ASV,"JACKSON, EDWIN",P000229,13,7.68,-3.749312
ASV,"JACKSON, EDWIN",P000229,14,14.73,9.400732000000001
ASV,"JACKSON, EDWIN",P000229,15,16.84,-1.9006419999999995
ASV,"JACKSON, EDWIN",P000229,16,11.85,-3.7496175
ASV,"JACKSON, EDWIN",P000229,17,14.02,-5.799967
ASV,"JACKSON, EDWIN",P000229,18,18.93,8.0005795
ASV,"JACKSON, EDWIN",P000229,19,9.15,-2.250275
ASV,"JACKSON, EDWIN",P000229,20,13.25,6.8002125
ASV,"JACKSON, EDWIN",P000229,21,15.78,2.1498850000000003
ASV,"JACKSON, EDWIN",P000229,22,10.08,-1.7996560000000001
ASV,"JACKSON, EDWIN",P000229,23,33.7,4.300630000000001
ASV,"JACKSON, EDWIN",P000229,24,26.92,3.0482619999999994
ASV,"JACKSON, EDWIN",P000229,25,31.55,3.6991850000000017
ASV,"JACKSON, EDWIN",P000229,26,20.18,12.799698000000001
ASV,"JACKSON, EDWIN",P000229,27,17.6,-1.6502400000000002
ASV,"JACKSON, EDWIN",P000229,28,18.98,-3.548427
ASV,"JACKSON, EDWIN",P000229,29,15.1,1.7502300000000002
ASV,"JACKSON, EDWIN",P000229,30,15.63,-3.9498905000000004
ASV,"JACKSON, EDWIN",P000229,31,13.83,4.999768
ASV,"JACKSON, EDWIN",P000229,32,20.52,6.848745999999999
ASV,"JACKSON, EDWIN",P000229,33,20.02,3.800002
ASV,"JACKSON, EDWIN",P000229,34,15.05,0.10009250000000014
ASV,"DE COLO, NANDO",P002100,1,25.62,5.598934999999999
ASV,"DE COLO, NANDO",P002100,2,19.32,-2.8504720000000003
ASV,"DE COLO, NANDO",P002100,3,26.58,20.698555
ASV,"DE COLO, NANDO",P002100,4,24.81,-2.9996734999999997
ASV,"DE COLO, NANDO",P002100,5,17.43,3.0004359999999997
ASV,"DE COLO, NANDO",P002100,6,22.37,13.250575499999997
ASV,"DE COLO, NANDO",P002100,7,24.12,0.19940800000000092
ASV,"DE COLO, NANDO",P002100,8,17.35,8.199075000000002
ASV,"DE COLO, NANDO",P002100,11,20.42,12.149948
ASV,"DE COLO, NANDO",P002100,12,22.95,9.849957499999999
ASV,"DE COLO, NANDO",P002100,13,24.27,2.8490525
ASV,"DE COLO, NANDO",P002100,14,22.97,7.09905
ASV,"DE COLO, NANDO",P002100,15,3.47,4.949781
ASV,"DE COLO, NANDO",P002100,27,27.13,10.750900000000001
ASV,"DE COLO, NANDO",P002100,28,23.08,18.001987999999997
ASV,"DE COLO, NANDO",P002100,29,24.93,6.149241000000001
ASV,"DE COLO, NANDO",P002100,30,24.33,10.750605000000002
ASV,"DE COLO, NANDO",P002100,31,23.08,0.5503960000000001
ASV,"DE COLO, NANDO",P002100,32,21.33,2.249873
ASV,"DE COLO, NANDO",P002100,33,19.98,19.1
