RANK,CODETEAM,PLAYER,NUMBER,PLAYER_ID,NB_GAME,TIME_ON,PER,IRS,NOTE
1,OLY,"VEZENKOV, SASHA",14,P003469,19,563.8,334.91,14.105,98.6
2,MIL,"MIROTIC, NIKOLA",33,P000796,21,594.75,342.46,14.043,98.4
3,MAD,"CAMPAZZO, FACUNDO",7,P005928,20,538.47,296.32,12.77,95.4
4,PRS,"SHORTS, TJ",0,P012608,19,519.36,280.04,12.288,94.3
5,ASV,"MALEDON, THEO",6,P007027,21,598.12,291.06,11.901,93.4
6,MIL,"LEDAY, ZACH",16,P008987,21,574.63,271.81,11.339,92.1
7,PAN,"LESSORT, MATHIAS",26,P003842,17,451.72,241.26,11.352,92.1
8,PAR,"JONES, TYRIQUE",88,P011981,21,497.65,250.82,11.244,91.8
9,BAS,"MONEKE, CHIMA",95,P012201,21,610.75,267.11,10.808,90.8
10,RED,"PETRUSEV, FILIP",30,P011194,15,282.49,180.93,10.765,90.7
11,PAN,"NUNN, KENDRICK",25,P012774,20,610.28,254.83,10.315,89.7
12,MUN,"BOOKER, DEVIN",31,P007056,21,539.78,239.38,10.303,89.6
13,MCO,"JAMES, MIKE",55,P005985,21,569.78,242.04,10.14,89.2
14,ULK,"HAYES-DAVIS, NIGEL",11,P008962,20,621.73,247.48,9.925,88.7
15,PAR,"JONES, CARLIK",2,P013369,21,530.93,226.92,9.848,88.6
16,TEL,"HOARD, JAYLEN",1,P006835,21,652.07,246.12,9.638,88.1
17,MAD,"TAVARES, WALTER",22,P005791,21,524.72,219.54,9.584,87.9
18,OLY,"MILUTINOV, NIKOLA",33,P003941,15,303.57,163.56,9.387,87.5
19,ZAL,"FRANCISCO, SYLVAIN",3,P007975,21,482.3,199.63,9.09,86.8
20,MAD,"HEZONJA, MARIO",11,P003108,20,546.32,211.19,9.035,86.6
21,BAS,"HALL, DONTA",45,P011196,21,465.2,194.22,9.005,86.6
22,VIR,"CORDINIER, ISAIA",0,P009549,21,592.13,217.3,8.93,86.4
23,BAR,"PUNTER, KEVIN",0,P009862,21,562.39,210.03,8.857,86.2
24,PAN,"HERNANGOMEZ, JUANCHO",41,P012712,21,520.52,198.7,8.709,85.9
25,MUN,"EDWARDS, CARSEN",3,P011987,21,596.0,211.6,8.667,85.8
26,ASV,"SAKO, NEAL",13,P010545,20,434.95,180.74,8.666,85.8
27,MCO,"OKOBO, ELIE",0,P011212,20,473.66,182.98,8.407,85.2
28,IST,"POIRIER, VINCENT",17,P004887,21,454.81,178.81,8.385,85.1
29,VIR,"CLYBURN, WILL",8,P004888,19,539.6,194.15,8.358,85.0
30,MUN,"WEILER-BABB, NICK",0,P010391,19,498.92,185.21,8.292,84.9
31,OLY,"FOURNIER, EVAN",94,P013380,20,494.68,182.33,8.198,84.7
32,IST,"BRYANT, ELIJAH",6,P009846,20,514.22,185.34,8.173,84.6
33,OLY,"MCKISSIC, SHAQUIELLE",77,P007853,21,370.78,156.37,8.121,84.5
34,BAR,"HERNANGOMEZ, WILLY",14,P003196,17,240.7,126.25,8.138,84.5
35,IST,"OTURU, DAN",25,P012788,20,343.02,149.68,8.082,84.4
36,BAR,"PARKER, JABARI",22,P012745,21,596.12,191.72,7.852,83.9
37,BAR,"VESELY, JAN",6,P000925,19,434.01,161.9,7.771,83.7
38,IST,"THOMPSON, DARIUS",13,P011078,21,580.72,186.35,7.733,83.6
39,TEL,"JOKUBAITIS, ROKAS",31,P007519,18,446.52,162.72,7.7,83.5
40,MCO,"DIALLO, ALPHA",11,P011226,15,377.86,148.39,7.634,83.3
41,BAS,"ROGKAVOPOULOS, NIKOLAOS",17,P011085,20,351.2,142.7,7.615,83.3
42,MUN,"NAPIER, SHABAZZ",8,P011224,21,438.57,158.15,7.552,83.2
43,RED,"BOLOMBOY, JOEL",21,P009035,10,244.16,117.8,7.539,83.1
44,TEL,"RIVERO, JASIEL",14,P011214,13,281.93,124.17,7.395,82.8
45,MAD,"MUSA, DZANAN",13,P006540,17,364.83,138.64,7.259,82.5
