RANK,CODETEAM,PLAYER,PLAYER_ID,TIME_ON,PER
1,PAR,"JONES, TYRIQUE",P011981,96.32,11.5
2,BAS,"SEDEKERSKIS, TADAS",P007230,79.82,6.15
3,BAS,"FORREST, TRENT",P013367,83.6,4.95
4,PAR,"DAVIES, BRANDON",P007870,88.3,1.05
5,BAS,"HALL, DONTA",P011196,89.47,0.66
6,BAS,"JARAMAZ, OGNJEN",P004058,4.72,0.65
7,BAS,"LUWAWU-CABARROT, TIMOTHE",P012080,103.0,0.25
8,PAR,"MARINKOVIC, VANJA",P004761,82.34,0.1
9,BAS,"MONEKE, CHIMA",P012201,126.83,-1.0
10,BAS,"HOWARD, MARKUS",P011948,93.47,-1.15
11,BAS,"DIOP, KHALIFA",P008072,68.28,-1.3
12,PAR,"LUNDBERG, IFFE",P010781,81.85,-2.85
13,PAR,"JONES, CARLIK",P013369,94.14,-3.05
14,BAS,"ROGKAVOPOULOS, NIKOLAOS",P011085,35.88,-4.15
15,BAS,"BALDWIN, KAMAR",P012597,85.6,-5.5
16,PAR,"NTILIKINA, FRANK",P006591,91.86,-6.1
17,PAR,"BONGA, ISAAC",P006760,104.75,-7.95
18,PAR,"BROWN, STERLING",P012720,100.78,-10.1
