,Season,ROUND,Gamecode,TEAM,OPPONENT,WIN,HOME,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24
0,2024,1,1,BER,PAN,NO,YES,2,5,9,17,23,29,32,36,38,45,52,57,57,66,73,77,,,,,,,,
1,2024,1,1,PAN,BER,YES,NO,7,11,19,26,30,37,42,45,49,51,56,62,68,73,79,87,,,,,,,,
2,2024,1,2,MCO,MIL,YES,YES,5,11,18,22,30,36,38,47,51,55,66,66,73,77,82,93,,,,,,,,
3,2024,1,2,MIL,MCO,NO,NO,0,2,4,10,12,17,24,26,33,39,44,49,58,66,70,80,,,,,,,,
4,2024,1,3,ZAL,BAR,YES,YES,4,10,18,21,23,29,37,43,45,45,48,50,57,57,64,74,,,,,,,,
5,2024,1,3,BAR,ZAL,NO,NO,4,7,14,14,14,21,26,31,40,42,46,48,48,54,60,67,,,,,,,,
6,2024,1,4,BAS,PAR,YES,YES,6,9,11,16,25,27,32,32,41,48,54,59,67,75,75,88,,,,,,,,
7,2024,1,4,PAR,BAS,NO,NO,1,5,13,17,25,30,36,38,46,52,57,60,69,72,74,82,,,,,,,,
8,2024,1,5,MUN,MAD,YES,YES,4,16,22,26,36,44,50,52,54,54,61,64,72,82,88,97,,,,,,,,
9,2024,1,5,MAD,MUN,NO,NO,6,9,18,29,31,38,42,51,59,64,69,73,75,77,79,89,,,,,,,,
10,2024,1,6,TEL,ASV,YES,YES,6,14,21,24,31,39,43,51,60,64,65,71,73,77,80,89,,,,,,,,
11,2024,1,6,ASV,TEL,NO,NO,7,14,20,31,36,42,46,52,58,65,67,71,76,80,82,82,,,,,,,,
12,2024,1,7,ULK,OLY,YES,YES,6,10,12,17,24,28,30,32,44,51,52,57,65,68,73,82,,,,,,,,
13,2024,1,7,OLY,ULK,NO,NO,2,4,11,13,15,24,30,36,42,47,54,56,61,65,67,71,,,,,,,,
14,2024,1,8,PRS,RED,NO,YES,2,4,9,18,22,26,37,43,47,53,53,58,63,70,72,77,,,,,,,,
15,2024,1,8,RED,PRS,YES,NO,5,8,12,17,17,27,33,35,37,40,49,58,64,73,75,80,,,,,,,,
16,2024,1,9,VIR,IST,NO,YES,2,10,17,21,24,27,32,36,36,38,43,52,54,58,62,67,,,,,,,,
17,2024,1,9,IST,VIR,YES,NO,6,13,13,15,20,24,27,36,42,47,49,51,57,68,71,76,,,,,,,,
18,2024,2,10,MCO,TEL,YES,YES,7,9,17,21,23,30,37,41,45,53,61,65,72,74,80,85,,,,,,,,
19,2024,2,10,TEL,MCO,NO,NO,5,12,15,23,30,35,40,46,50,52,56,60,65,69,75,79,,,,,,,,
20,2024,2,11,RED,BAS,YES,YES,8,15,20,25,32,38,42,42,45,50,56,59,65,65,68,78,,,,,,,,
21,2024,2,11,BAS,RED,NO,NO,6,6,12,20,24,28,31,34,36,40,43,49,49,58,62,71,,,,,,,,
22,2024,2,12,IST,ULK,NO,YES,5,10,17,21,21,23,29,37,37,44,48,51,54,63,72,78,,,,,,,,
23,2024,2,12,ULK,IST,YES,NO,5,11,18,27,33,38,43,46,52,56,56,60,65,72,74,83,,,,,,,,
24,2024,2,13,ASV,VIR,YES,YES,8,19,29,38,44,48,52,57,60,68,68,73,74,79,83,87,,,,,,,,
25,2024,2,13,VIR,ASV,NO,NO,6,13,17,27,35,37,44,49,49,57,63,70,74,79,83,85,,,,,,,,
26,2024,2,14,PAN,MUN,YES,YES,7,12,18,25,31,37,41,47,53,59,61,66,70,78,82,94,,,,,,,,
27,2024,2,14,MUN,PAN,NO,NO,0,5,8,16,18,22,26,34,36,42,48,58,63,67,72,79,,,,,,,,
28,2024,2,15,MAD,PAR,YES,YES,3,8,16,24,33,40,46,50,54,57,61,68,78,83,89,93,,,,,,,,
29,2024,2,15,PAR,MAD,NO,NO,5,12,21,24,29,33,40,47,49,52,59,64,66,71,77,86,,,,,,,,
