Gamecode,CODETEAM,TIME,DELTA_SCORE,OFF,DEF,P1,P2,P3,P4,P5
1,RED,6.583,10,24,14,P003479,P006436,P011224,P012711,PLUO
1,RED,4.533,2,13,11,P002553,P005099,P006436,P011964,PJDR
1,RED,4.033,-1,3,4,P000848,P005099,P008966,P011964,PJDR
1,RED,3.833,1,10,9,P002553,P006436,P011224,P012711,PLUO
1,RED,2.8,3,7,4,P002553,P005099,P006436,P008966,P011224
1,RED,2.667,-2,5,7,P000848,P004720,P005099,P008966,P011964
1,RED,1.85,3,5,2,P000848,P002553,P006436,P011224,P012711
1,RED,1.683,0,2,2,P005099,P006436,P008966,P012711,PJDR
1,RED,1.617,1,6,5,P000848,P002553,P003479,P006436,P011224
1,RED,1.617,3,3,0,P000848,P002553,P006436,P008966,P011224
1,RED,1.517,3,4,1,P002553,P004720,P005099,P011964,PJDR
1,RED,1.183,-3,0,3,P000848,P003479,P012711,PJDR,PLUO
1,RED,1.183,0,3,3,P002553,P005099,P006436,P011224,P012711
1,RED,1.167,-1,2,3,P000848,P003479,P005099,P012711,PLUO
1,RED,0.967,2,4,2,P000848,P002553,P003479,P006436,PJDR
1,RED,0.917,-1,0,1,P002553,P005099,P006436,P011224,P011964
1,RED,0.883,-2,0,2,P000848,P004720,P005099,P011964,P012711
1,RED,0.7,3,3,0,P000848,P002553,P003479,P005099,PJDR
1,RED,0.267,0,0,0,P000848,P005099,P006436,P008966,P011224
1,ASV,12.183,-13,21,34,P002100,P004194,P011225,P012080,P012730
1,ASV,5.017,-2,10,12,P002100,P004194,P011225,P012080,P012729
1,ASV,3.833,-1,9,10,P002100,P004194,P006568,P011225,P012080
1,ASV,3.767,4,9,5,P011225,P012080,P012729,P012730,P012732
1,ASV,3.3,-1,2,3,P006568,P011386,P012729,P012731,P012732
1,ASV,2.65,3,6,3,P011225,P012729,P012730,P012731,P012732
1,ASV,2.5,0,5,5,P011386,P012729,P012730,P012731,P012732
1,ASV,1.683,0,2,2,P006568,P011225,P012080,P012729,P012732
1,ASV,1.617,-1,5,6,P002100,P004194,P012080,P012730,P012731
1,ASV,1.6,-3,2,5,P002100,P006568,P012729,P012731,P012732
