CODETEAM,PLAYER_ID,PLAYER
IST,P014102,"JONES, KAI"
IST,P007200,"LARKIN, SHANE"
TEL,P011193,"BLATT, TAMIR"
IST,P010391,"WEILER-BABB, NICK"
IST,P009549,"CORDINIER, ISAIA"
IST,P012710,"OSMANI, ERCAN"
TEL,P011219,"SORKIN, ROMAN"
TEL,P014127,"BRISSETT, O'SHAE J"
TEL,P013699,"CLARK III, JIMMY"
TEL,P006835,"HOARD, JAYLEN"
IST,P009754,"LOYD, JORDAN"
IST,P005844,"PAPAGIANNIS, GEORGIOS"
TEL,P013403,"WALKER IV, LONNIE"
TEL,P014123,"DOWTIN JR, JEFFREY"
TEL,P013289,"SANTOS, MARCIO"
TEL,P013381,"RAYMAN, WILLIAM"
TEL,P014012,"LEAF, TJ"
IST,P011201,"HAZER, SEHMUS"
TEL,P007990,"DIBARTOLOMEO, JOHN"
IST,P014025,"SWIDER, COLE"
IST,P006372,"YILMAZ, ERKAN"
IST,P007109,"SMITS, ROLANDS"
TEL,P007673,"TRIFUNOVIC, UROS"
BAS,P011948,"HOWARD, MARKUS"
OLY,P003469,"VEZENKOV, SASHA"
BAS,P014086,"DIALLO, HAMIDOU"
OLY,P003941,"MILUTINOV, NIKOLA"
OLY,P008855,"WALKUP, THOMAS"
OLY,P009849,"DORSEY, TYLER"
BAS,P013367,"FORREST, TRENT"
BAS,P008072,"DIOP, KHALIFA"
BAS,P014119,"NOWELL, MARKQUIS"
BAS,P012080,"LUWAWU-CABARROT, TIMOTHE"
BAS,P007579,"SAMANIC, LUKA"
OLY,P013380,"FOURNIER, EVAN"
BAS,P007230,"SEDEKERSKIS, TADAS"
BAS,P008173,"SPAGNOLO, MATTEO"
BAS,P014026,"FRISCH, CLEMENT"
OLY,P013389,"LEE, SABEN"
OLY,P008829,"PETERS, ALEC"
OLY,P011196,"HALL, DONTA"
BAS,P014107,"JOKSIMOVIC, STEFAN"
OLY,P012610,"WARD, TYSON"
OLY,P001255,"PAPANIKOLAOU, KOSTAS"
BAS,P010035,"VILLAR, RAFA"
MIL,P008985,"BOLMARO, LEANDRO"
RED,P013363,"NWORA, JORDAN"
RED,P012201,"MONEKE, CHIMA"
MIL,P007831,"SHIELDS, SHAVON"
RED,P009048,"MILLER-MCINTYRE, CODI"
RED,P011214,"RIVERO, JASIEL"
MIL,P008987,"LEDAY, ZACH"
RED,P004866,"KALINIC, NIKOLA"
MIL,P011064,"MANNION, NICCOLO"
MIL,P011199,"NEBO, JOSH"
RED,P014029,"IZUNDU, EBUKA"
MIL,P012593,"ELLIS, QUINN"
MIL,P004004,"GUDURIC, MARKO"
RED,P011305,"CARTER, TYSON"
RED,P011982,"OJELEYE, SEMI"
MIL,P007056,"BOOKER, DEVIN"
RED,P014094,"MILJENOVIC, STEFAN"
MIL,P005379,"CANCAR, VLATKO"
