Gamecode,CODETEAM,J1,TIME,DELTA_SCORE,OFF,DEF
1,BER,P006919,25.3,-10,42,52
1,BER,P007025,21.15,-7,34,41
1,BER,P008062,15.25,-8,33,41
1,BER,P008173,16.3,-6,35,41
1,BER,P008780,27.3,1,52,51
1,BER,P010791,22.417,-6,40,46
1,BER,P011631,10.817,0,17,17
1,BER,P011934,19.05,-12,36,48
1,BER,P012604,24.283,-8,50,58
1,BER,P012721,18.133,6,46,40
1,PAN,P001926,16.001,5,40,35
1,PAN,P002328,17.251,11,36,25
1,PAN,P003842,27.134,8,57,49
1,PAN,P004088,14.65,-2,27,29
1,PAN,P005353,14.267,3,33,30
1,PAN,P007866,14.934,8,30,22
1,PAN,P009622,20.184,15,45,30
1,PAN,P011204,21.267,-4,49,53
1,PAN,P011209,0.833,-5,0,5
1,PAN,P012712,21.267,-4,49,53
1,PAN,P012774,32.217,15,69,54
2,MCO,P002581,20.6,4,49,45
2,MCO,P005763,14.333,4,30,26
2,MCO,P005844,19.401,9,44,35
2,MCO,P005985,18.567,9,42,33
2,MCO,P008099,21.434,4,51,47
2,MCO,P011212,25.668,9,63,54
2,MCO,P011226,29.45,8,67,59
2,MCO,P011231,20.618,11,53,42
2,MCO,P013365,6.417,0,15,15
2,MCO,PLCZ,23.517,7,51,44
2,MIL,P000796,27.317,-15,53,68
2,MIL,P001392,15.417,-6,21,27
2,MIL,P001518,9.767,-6,20,26
2,MIL,P006085,24.067,-10,54,64
2,MIL,P006509,4.35,5,14,9
2,MIL,P007831,28.317,-18,53,71
2,MIL,P008985,22.816,-5,44,49
2,MIL,P008987,17.866,-2,37,39
2,MIL,P011199,22.4,-15,41,56
2,MIL,P013384,15.266,1,34,33
2,MIL,P013386,12.417,6,29,23
3,BAR,P000925,20.801,-7,24,31
3,BAR,P002939,28.0,-5,50,55
3,BAR,P003196,11.566,-4,23,27
3,BAR,P003478,23.0,-3,41,44
3,BAR,P006435,23.483,11,44,33
3,BAR,P009862,24.866,-14,42,56
3,BAR,P010106,7.466,-1,6,7
3,BAR,P012745,23.966,6,45,39
3,BAR,P012795,14.265,-10,22,32
3,BAR,P013379,22.582,-8,38,46
3,ZAL,P002329,15.183,7,21,14
3,ZAL,P002676,24.817,0,53,53
3,ZAL,P003048,16.367,10,36,26
3,ZAL,P003210,0.467,0,0,0
3,ZAL,P005504,19.216,-7,34,41
3,ZAL,P007029,12.382,-2,20,22
3,ZAL,P007513,26.484,5,57,52
3,ZAL,P007975,17.733,11,41,30
3,ZAL,P011051,4.417,4,4,0
3,ZAL,P011925,15.666,-4,22,26
3,ZAL,P011983,25.651,8,48,40
3,ZAL,P012622,21.617,3,34,31
4,BAS,P004058,1.05,1,4,3
4,BAS,P007230,27.134,-4,61,65
4,BAS,P008072,17.199,2,39,37
4,BAS,P011085,6.916,-3,11,14
4,BAS,P011196,22.333,4,49,45
4,BAS,P011948,20.116,9,46,37
4,BAS,P012080,30.883,8,70,62
4,BAS,P012201,35.415,8,76,68
4,BAS,P012597,16.766,-2,28,30
4,BAS,P013367,22.183,7,56,49
4,PAR,P004761,28.934,6,68,62
4,PAR,P006591,17.868,-7,35,42
4,PAR,P006760,23.634,-3,53,56
4,PAR,P007870,30.634,-5,61,66
4,PAR,P010781,22.916,1,47,46
4,PAR,P011981,31.218,-9,59,68
4,PAR,P012720,24.816,-8,44,52
4,PAR,P013369,19.985,-5,43,48
5,MAD,P003583,16.434,-7,40,47
5,MAD,P003733,17.101,9,42,33
5,MAD,P005791,21.084,2,47,45
5,MAD,P005928,27.368,6,62,56
5,MAD,P006540,24.267,1,54,53
5,MAD,P007630,4.634,-4,9,13
5,MAD,P009005,27.535,-12,60,72
5,MAD,P009213,14.117,-1,29,30
5,MAD,P011247,11.634,-11,23,34
5,MAD,P011649,7.467,2,22,20
5,MAD,P013378,14.45,-9,34,43
5,MAD,PTGB,13.919,-16,23,39
5,MUN,P001288,23.116,-9,49,58
5,MUN,P001557,18.599,15,53,38
5,MUN,P004508,13.083,-2,27,29
5,MUN,P007056,24.95,13,57,44
5,MUN,P007201,33.866,-6,72,78
5,MUN,P007639,4.25,6,17,11
5,MUN,P010391,17.149,-6,38,44
5,MUN,P011224,23.183,21,66,45
5,MUN,P011244,14.883,-2,36,38
5,MUN,P011987,26.916,10,70,60
6,ASV,P000229,21.951,-8,43,51
6,ASV,P002100,13.367,3,30,27
6,ASV,P003526,14.0,0,28,28
6,ASV,P004194,25.784,-15,48,63
6,ASV,P007027,26.634,-10,52,62
6,ASV,P008991,17.767,3,38,35
6,ASV,P010545,16.717,-4,40,44
6,ASV,P011225,24.851,-13,47,60
6,ASV,P012731,19.734,2,38,36
6,ASV,P013371,15.767,6,35,29
6,ASV,PKIR,3.433,1,11,10
6,TEL,P004233,4.367,-8,7,15
6,TEL,P006835,21.384,-1,43,44
6,TEL,P007519,15.101,-11,24,35
6,TEL,P007855,2.284,-2,5,7
6,TEL,P007990,18.317,0,32,32
6,TEL,P009754,26.516,19,71,52
6,TEL,P011193,28.849,18,73,55
6,TEL,P011214,29.066,2,64,62
6,TEL,P011219,22.483,5,54,49
6,TEL,P013381,3.367,1,5,4
6,TEL,P013382,28.266,12,67,55
7,OLY,P001255,14.551,-1,25,26
7,OLY,P003469,30.518,-4,58,62
7,OLY,P007853,20.0,-2,38,40
7,OLY,P007947,3.867,2,10,8
7,OLY,P007982,20.968,-10,33,43
7,OLY,P008829,9.484,-7,13,20
7,OLY,P008855,21.751,-7,38,45
7,OLY,P009849,16.451,-8,29,37
7,OLY,P011194,18.018,-9,30,39
7,OLY,P012878,21.984,-2,41,43
7,OLY,P013380,22.418,-7,40,47
7,ULK,P002849,19.933,6,43,37
7,ULK,P002968,9.633,-5,20,25
7,ULK,P004004,20.6,-1,40,41
7,ULK,P006661,2.084,-3,2,5
7,ULK,P007182,7.885,1,12,11
7,ULK,P008104,2.584,3,5,2
7,ULK,P008962,27.351,16,58,42
7,ULK,P009783,28.268,8,55,47
7,ULK,P009863,31.55,14,72,58
7,ULK,P010560,11.733,3,27,24
7,ULK,P011205,22.851,7,43,36
7,ULK,PLMG,15.533,6,33,27
8,PRS,P004197,13.284,0,23,23
8,PRS,P004512,11.434,-5,27,32
8,PRS,P007032,18.401,-4,36,40
8,PRS,P010390,28.567,2,50,48
8,PRS,P012608,27.85,4,50,46
8,PRS,P012609,11.434,-5,27,32
8,PRS,P012610,28.567,2,50,48
8,PRS,P012613,25.851,7,53,46
8,PRS,P012640,20.467,-6,45,51
8,PRS,P013373,14.15,-10,24,34
8,RED,P000848,22.7,5,52,47
8,RED,P002553,21.148,1,43,42
8,RED,P004007,3.833,-9,5,14
8,RED,P004866,27.633,7,51,44
8,RED,P006240,2.517,-5,6,11
8,RED,P006436,23.516,-1,52,53
8,RED,P007960,2.5,-4,2,6
8,RED,P009035,16.334,7,31,24
8,RED,P009048,27.049,6,63,57
8,RED,P010612,29.282,14,63,49
8,RED,P012044,14.25,-6,20,26
8,RED,P012786,9.233,0,12,12
9,IST,P004887,13.8,1,25,24
9,IST,P006590,18.117,11,40,29
9,IST,P007109,20.834,8,40,32
9,IST,P007200,23.317,-10,34,44
9,IST,P009513,4.0,-6,2,8
9,IST,P009664,12.0,8,26,18
9,IST,P009846,23.116,3,43,40
9,IST,P011078,24.416,22,58,36
9,IST,P012710,16.149,3,30,27
9,IST,P012788,26.2,8,51,43
9,IST,P013363,12.151,-3,18,21
9,IST,P013364,5.9,0,13,13
9,VIR,P001133,29.549,8,58,50
9,VIR,P001844,19.583,-7,36,43
9,VIR,P002084,16.866,-15,22,37
9,VIR,P004554,21.0,0,35,35
9,VIR,P004888,18.116,-11,24,35
9,VIR,P006739,15.098,-9,21,30
9,VIR,P009549,31.366,-5,58,63
9,VIR,P011816,0.783,-2,2,4
9,VIR,P012585,13.666,8,25,17
9,VIR,P012591,6.283,0,10,10
9,VIR,P013374,11.798,-9,17,26
9,VIR,PBCN,15.882,-3,27,30
10,MCO,P002581,22.283,7,53,46
10,MCO,P005844,17.716,-1,32,33
10,MCO,P005985,31.299,9,69,60
10,MCO,P008099,26.949,0,57,57
10,MCO,P011212,26.983,3,55,52
10,MCO,P011226,29.283,8,62,54
10,MCO,P011231,20.732,3,43,40
10,MCO,P012515,0.15,0,0,0
10,MCO,P013365,2.85,-5,2,7
10,MCO,PLCZ,21.75,6,52,46
10,TEL,P005145,5.867,-2,14,16
10,TEL,P006835,28.249,-9,54,63
10,TEL,P007519,12.967,1,25,24
10,TEL,P007855,2.884,-2,4,6
10,TEL,P007990,17.716,-3,32,35
10,TEL,P009754,28.616,-6,57,63
10,TEL,P011193,26.999,-6,54,60
10,TEL,P011214,24.682,-3,50,53
10,TEL,P011219,19.933,3,41,38
10,TEL,P013381,3.483,-5,6,11
10,TEL,P013382,28.599,2,58,56
11,BAS,P007230,28.584,-12,41,53
11,BAS,P008072,12.05,-11,16,27
11,BAS,P011085,14.217,-2,25,27
11,BAS,P011196,28.501,3,55,52
11,BAS,P011948,20.683,7,47,40
11,BAS,P012080,21.418,-15,29,44
11,BAS,P012201,33.634,-1,65,66
11,BAS,P012597,18.084,-1,38,39
11,BAS,P013367,22.834,-3,39,42
11,RED,P000848,11.333,4,20,16
11,RED,P002553,12.715,-1,25,26
11,RED,P004007,17.865,1,38,37
11,RED,P004866,27.066,2,51,49
11,RED,P006436,14.783,-3,31,34
11,RED,P007960,8.317,5,16,11
11,RED,P009035,27.167,8,53,45
11,RED,P009048,28.0,2,57,55
11,RED,P010612,24.366,5,49,44
11,RED,P012044,11.966,7,21,14
11,RED,P012786,16.267,7,29,22
