Gamecode,CODETEAM,J1,J2,TIME,DELTA_SCORE,OFF,DEF
1,IST,P005844,P006372,1.2,-7,0,7
1,IST,P005844,P007109,5.0,6,14,8
1,IST,P005844,P007200,6.95,6,17,11
1,IST,P005844,P009549,7.499,9,13,4
1,IST,P005844,P009754,10.25,5,23,18
1,IST,P005844,P010391,6.684,7,19,12
1,IST,P005844,P011201,7.416,1,12,11
1,IST,P005844,P012710,6.55,8,14,6
1,IST,P005844,P014025,1.783,-7,0,7
1,IST,P006372,P009754,1.2,-7,0,7
1,IST,P006372,P011201,1.2,-7,0,7
1,IST,P006372,P014025,1.2,-7,0,7
1,IST,P007109,P007200,15.833,8,37,29
1,IST,P007109,P009549,12.649,4,25,21
1,IST,P007109,P009754,10.684,9,30,21
1,IST,P007109,P010391,6.083,1,14,13
1,IST,P007109,P011201,2.25,2,5,3
1,IST,P007109,P012710,9.3,7,23,16
1,IST,P007109,P014102,1.533,-5,0,5
1,IST,P007200,P009549,25.382,5,53,48
1,IST,P007200,P009754,17.6,7,44,37
1,IST,P007200,P010391,21.083,2,46,44
1,IST,P007200,P011201,2.833,2,5,3
1,IST,P007200,P012710,26.233,7,60,53
1,IST,P007200,P014025,0.583,0,0,0
1,IST,P007200,P014102,16.899,-5,34,39
1,IST,P009549,P009754,16.35,10,37,27
1,IST,P009549,P010391,15.499,1,29,28
1,IST,P009549,P011201,4.633,6,9,3
1,IST,P009549,P012710,27.483,14,62,48
1,IST,P009549,P014102,13.833,-5,28,33
1,IST,P009754,P010391,8.117,5,22,17
1,IST,P009754,P011201,5.433,-3,7,10
1,IST,P009754,P012710,20.55,9,46,37
1,IST,P009754,P014025,1.783,-7,0,7
1,IST,P009754,P014102,5.033,-4,11,15
1,IST,P010391,P011201,1.267,0,3,3
1,IST,P010391,P012710,17.333,5,38,33
1,IST,P010391,P014102,15.466,-5,29,34
1,IST,P011201,P012710,3.65,4,7,3
1,IST,P011201,P014025,1.783,-7,0,7
1,IST,P011201,P014102,0.267,-2,0,2
1,IST,P012710,P014102,15.633,-2,34,36
1,TEL,P006835,P007673,3.166,-3,10,13
1,TEL,P006835,P007990,6.967,-3,9,12
1,TEL,P006835,P011193,23.632,-9,52,61
1,TEL,P006835,P011219,25.566,-14,50,64
1,TEL,P006835,P013289,5.618,6,14,8
1,TEL,P006835,P013381,5.3,-5,6,11
1,TEL,P006835,P013403,6.1,-3,12,15
1,TEL,P006835,P013699,17.383,-4,35,39
1,TEL,P006835,P014123,11.368,0,25,25
1,TEL,P006835,P014127,21.168,3,43,40
1,TEL,P007673,P011193,3.166,-3,10,13
1,TEL,P007673,P011219,3.166,-3,10,13
1,TEL,P007673,P013699,0.233,-2,0,2
1,TEL,P007673,P014123,2.933,-1,10,11
1,TEL,P007990,P011193,3.85,0,7,7
1,TEL,P007990,P011219,3.867,-5,2,7
1,TEL,P007990,P013289,5.184,11,16,5
1,TEL,P007990,P013403,2.85,9,9,0
1,TEL,P007990,P014012,2.467,9,9,0
1,TEL,P007990,P014123,5.584,6,11,5
1,TEL,P007990,P014127,6.967,-3,9,12
1,TEL,P011193,P011219,20.582,-14,43,57
1,TEL,P011193,P013289,2.667,5,9,4
1,TEL,P011193,P013381,4.433,-3,6,9
1,TEL,P011193,P013403,3.199,-2,7,9
1,TEL,P011193,P013699,15.466,-9,30,39
1,TEL,P011193,P014123,3.433,-1,13,14
1,TEL,P011193,P014127,14.1,0,31,31
1,TEL,P011219,P013381,4.433,-3,6,9
1,TEL,P011219,P013403,3.333,-6,7,13
1,TEL,P011219,P013699,16.866,-5,33,38
1,TEL,P011219,P014123,8.417,-1,20,21
1,TEL,P011219,P014127,16.034,-5,29,34
1,TEL,P013289,P013381,2.584,-3,0,3
1,TEL,P013289,P013403,10.818,4,19,15
1,TEL,P013289,P013699,0.517,1,2,1
1,TEL,P013289,P014012,8.434,1,14,13
1,TEL,P013289,P014123,11.385,2,19,17
1,TEL,P013289,P014127,9.001,1,19,18
1,TEL,P013381,P013403,2.584,-3,0,3
1,TEL,P013381,P013699,4.433,-3,6,9
1,TEL,P013381,P014012,1.717,-1,0,1
1,TEL,P013381,P014123,2.584,-3,0,3
1,TEL,P013403,P013699,1.433,-3,2,5
1,TEL,P013403,P014012,8.434,1,14,13
1,TEL,P013403,P014123,11.835,0,22,22
1,TEL,P013403,P014127,7.55,-5,12,17
1,TEL,P013699,P014123,1.917,5,5,0
1,TEL,P013699,P014127,11.284,4,27,23
1,TEL,P014012,P014123,8.434,1,14,13
1,TEL,P014012,P014127,4.25,-7,5,12
1,TEL,P014123,P014127,11.318,-4,17,21
2,BAS,P007230,P007579,6.218,-3,10,13
2,BAS,P007230,P008072,18.383,3,50,47
2,BAS,P007230,P008173,0.184,0,2,2
2,BAS,P007230,P011948,20.334,1,45,44
2,BAS,P007230,P012080,11.783,9,32,23
2,BAS,P007230,P013367,23.434,2,60,58
2,BAS,P007230,P014086,16.034,-11,37,48
2,BAS,P007230,P014107,0.017,0,0,0
2,BAS,P007230,P014119,2.949,-9,4,13
2,BAS,P007579,P008173,7.667,-4,20,24
2,BAS,P007579,P011948,6.0,-1,10,11
2,BAS,P007579,P012080,13.583,-3,30,33
2,BAS,P007579,P013367,10.767,1,27,26
2,BAS,P007579,P014026,11.25,-5,25,30
2,BAS,P007579,P014086,8.035,-4,17,21
2,BAS,P007579,P014107,0.017,0,0,0
2,BAS,P007579,P014119,10.267,-9,17,26
2,BAS,P008072,P008173,1.867,0,5,5
2,BAS,P008072,P010035,0.05,0,0,0
2,BAS,P008072,P011948,16.333,3,41,38
2,BAS,P008072,P012080,10.966,13,34,21
2,BAS,P008072,P013367,19.266,5,52,47
