Gamecode,CODETEAM,J1,J2,J3,TIME,DELTA_SCORE,OFF,DEF
1,IST,P005844,P006372,P009754,1.2,-7,0,7
1,IST,P005844,P006372,P011201,1.2,-7,0,7
1,IST,P005844,P006372,P014025,1.2,-7,0,7
1,IST,P005844,P007109,P007200,5.0,6,14,8
1,IST,P005844,P007109,P009549,1.816,2,2,0
1,IST,P005844,P007109,P009754,1.917,4,9,5
1,IST,P005844,P007109,P010391,4.017,4,12,8
1,IST,P005844,P007109,P011201,2.25,2,5,3
1,IST,P005844,P007200,P009549,2.316,1,2,1
1,IST,P005844,P007200,P009754,3.867,4,12,8
1,IST,P005844,P007200,P010391,4.884,5,15,10
1,IST,P005844,P007200,P011201,2.833,2,5,3
1,IST,P005844,P007200,P012710,1.367,0,3,3
1,IST,P005844,P007200,P014025,0.583,0,0,0
1,IST,P005844,P009549,P009754,5.683,7,11,4
1,IST,P005844,P009549,P010391,2.633,2,4,2
1,IST,P005844,P009549,P011201,4.366,8,9,1
1,IST,P005844,P009549,P012710,5.683,7,11,4
1,IST,P005844,P009754,P010391,4.584,7,16,9
1,IST,P005844,P009754,P011201,5.166,-1,7,8
1,IST,P005844,P009754,P012710,6.55,8,14,6
1,IST,P005844,P009754,P014025,1.783,-7,0,7
1,IST,P005844,P010391,P011201,1.267,0,3,3
1,IST,P005844,P010391,P012710,2.667,3,7,4
1,IST,P005844,P011201,P012710,3.383,6,7,1
1,IST,P005844,P011201,P014025,1.783,-7,0,7
1,IST,P006372,P009754,P011201,1.2,-7,0,7
1,IST,P006372,P009754,P014025,1.2,-7,0,7
1,IST,P006372,P011201,P014025,1.2,-7,0,7
1,IST,P007109,P007200,P009549,12.649,4,25,21
1,IST,P007109,P007200,P009754,10.684,9,30,21
1,IST,P007109,P007200,P010391,6.083,1,14,13
1,IST,P007109,P007200,P011201,2.25,2,5,3
1,IST,P007109,P007200,P012710,9.3,7,23,16
1,IST,P007109,P007200,P014102,1.533,-5,0,5
1,IST,P007109,P009549,P009754,8.767,5,21,16
1,IST,P007109,P009549,P010391,2.899,-3,2,5
1,IST,P007109,P009549,P011201,0.983,2,2,0
1,IST,P007109,P009549,P012710,9.3,7,23,16
1,IST,P007109,P009549,P014102,1.533,-5,0,5
1,IST,P007109,P009754,P010391,1.917,4,9,5
1,IST,P007109,P009754,P012710,8.767,5,21,16
1,IST,P007109,P010391,P011201,1.267,0,3,3
1,IST,P007109,P010391,P012710,0.533,2,2,0
1,IST,P007109,P010391,P014102,1.533,-5,0,5
1,IST,P007200,P009549,P009754,10.9,4,26,22
1,IST,P007200,P009549,P010391,13.699,-1,25,26
1,IST,P007200,P009549,P011201,0.983,2,2,0
1,IST,P007200,P009549,P012710,22.033,8,51,43
1,IST,P007200,P009549,P014102,13.566,-3,28,31
1,IST,P007200,P009754,P010391,6.317,3,18,15
1,IST,P007200,P009754,P011201,0.583,0,0,0
1,IST,P007200,P009754,P012710,15.1,3,35,32
1,IST,P007200,P009754,P014025,0.583,0,0,0
1,IST,P007200,P009754,P014102,4.766,-2,11,13
1,IST,P007200,P010391,P011201,1.267,0,3,3
1,IST,P007200,P010391,P012710,15.533,3,34,31
1,IST,P007200,P010391,P014102,15.466,-5,29,34
1,IST,P007200,P011201,P014025,0.583,0,0,0
1,IST,P007200,P012710,P014102,15.366,0,34,34
1,IST,P009549,P009754,P010391,2.0,2,4,2
1,IST,P009549,P009754,P011201,3.65,4,7,3
1,IST,P009549,P009754,P012710,16.35,10,37,27
1,IST,P009549,P009754,P014102,1.7,-2,5,7
1,IST,P009549,P010391,P012710,13.133,6,29,23
1,IST,P009549,P010391,P014102,12.133,-3,23,26
1,IST,P009549,P011201,P012710,3.65,4,7,3
1,IST,P009549,P011201,P014102,0.267,-2,0,2
1,IST,P009549,P012710,P014102,12.3,0,28,28
1,IST,P009754,P010391,P012710,6.2,1,13,12
1,IST,P009754,P010391,P014102,3.333,-2,6,8
1,IST,P009754,P011201,P012710,3.65,4,7,3
1,IST,P009754,P011201,P014025,1.783,-7,0,7
1,IST,P009754,P011201,P014102,0.267,-2,0,2
1,IST,P009754,P012710,P014102,5.033,-4,11,15
1,IST,P010391,P012710,P014102,13.933,0,29,29
1,IST,P011201,P012710,P014102,0.267,-2,0,2
1,TEL,P006835,P007673,P011193,3.166,-3,10,13
1,TEL,P006835,P007673,P011219,3.166,-3,10,13
1,TEL,P006835,P007673,P013699,0.233,-2,0,2
1,TEL,P006835,P007673,P014123,2.933,-1,10,11
1,TEL,P006835,P007990,P011193,3.85,0,7,7
1,TEL,P006835,P007990,P011219,3.867,-5,2,7
1,TEL,P006835,P007990,P013289,2.717,2,7,5
1,TEL,P006835,P007990,P013403,0.383,0,0,0
1,TEL,P006835,P007990,P014123,3.117,-3,2,5
1,TEL,P006835,P007990,P014127,6.967,-3,9,12
1,TEL,P006835,P011193,P011219,20.582,-14,43,57
1,TEL,P006835,P011193,P013289,2.667,5,9,4
1,TEL,P006835,P011193,P013381,4.433,-3,6,9
1,TEL,P006835,P011193,P013403,3.199,-2,7,9
1,TEL,P006835,P011193,P013699,15.466,-9,30,39
1,TEL,P006835,P011193,P014123,3.433,-1,13,14
1,TEL,P006835,P011193,P014127,14.1,0,31,31
1,TEL,P006835,P011219,P013381,4.433,-3,6,9
1,TEL,P006835,P011219,P013403,3.333,-6,7,13
1,TEL,P006835,P011219,P013699,16.866,-5,33,38
1,TEL,P006835,P011219,P014123,8.417,-1,20,21
1,TEL,P006835,P011219,P014127,16.034,-5,29,34
1,TEL,P006835,P013289,P013381,0.867,-2,0,2
1,TEL,P006835,P013289,P013403,2.384,3,5,2
1,TEL,P006835,P013289,P013699,0.517,1,2,1
1,TEL,P006835,P013289,P014123,2.951,1,5,4
1,TEL,P006835,P013289,P014127,4.751,8,14,6
1,TEL,P006835,P013381,P013403,0.867,-2,0,2
1,TEL,P006835,P013381,P013699,4.433,-3,6,9
1,TEL,P006835,P013381,P014123,0.867,-2,0,2
1,TEL,P006835,P013403,P013699,1.433,-3,2,5
1,TEL,P006835,P013403,P014123,3.401,-1,8,9
1,TEL,P006835,P013403,P014127,3.3,2,7,5
1,TEL,P006835,P013699,P014123,1.917,5,5,0
1,TEL,P006835,P013699,P014127,11.284,4,27,23
1,TEL,P006835,P014123,P014127,7.068,3,12,9
1,TEL,P007673,P011193,P011219,3.166,-3,10,13
1,TEL,P007673,P011193,P013699,0.233,-2,0,2
1,TEL,P007673,P011193,P014123,2.933,-1,10,11
1,TEL,P007673,P011219,P013699,0.233,-2,0,2
1,TEL,P007673,P011219,P014123,2.933,-1,10,11
1,TEL,P007990,P011193,P011219,1.317,-4,0,4
1,TEL,P007990,P011193,P013289,2.15,4,7,3
1,TEL,P007990,P011193,P013403,0.383,0,0,0
1,TEL,P007990,P011193,P014127,3.85,0,7,7
1,TEL,P007990,P011219,P014123,2.55,-1,2,3
1,TEL,P007990,P011219,P014127,3.867,-5,2,7
1,TEL,P007990,P013289,P013403,2.467,9,9,0
1,TEL,P007990,P013289,P014012,2.467,9,9,0
1,TEL,P007990,P013289,P014123,3.034,7,9,2
1,TEL,P007990,P013289,P014127,2.717,2,7,5
1,TEL,P007990,P013403,P014012,2.467,9,9,0
1,TEL,P007990,P013403,P014123,2.467,9,9,0
1,TEL,P007990,P013403,P014127,0.383,0,0,0
1,TEL,P007990,P014012,P014123,2.467,9,9,0
1,TEL,P007990,P014123,P014127,3.117,-3,2,5
1,TEL,P011193,P011219,P013381,4.433,-3,6,9
1,TEL,P011193,P011219,P013403,2.816,-2,7,9
1,TEL,P011193,P011219,P013699,14.949,-10,28,38
1,TEL,P011193,P011219,P014123,3.433,-1,13,14
1,TEL,P011193,P011219,P014127,11.05,-5,22,27
1,TEL,P011193,P013289,P013699,0.517,1,2,1
1,TEL,P011193,P013289,P014127,2.667,5,9,4
1,TEL,P011193,P013381,P013699,4.433,-3,6,9
1,TEL,P011193,P013403,P013699,1.433,-3,2,5
1,TEL,P011193,P013403,P014123,0.5,0,3,3
1,TEL,P011193,P013403,P014127,1.266,1,2,1
1,TEL,P011193,P013699,P014127,9.367,-1,22,23
1,TEL,P011219,P013381,P013699,4.433,-3,6,9
1,TEL,P011219,P013403,P013699,1.433,-3,2,5
1,TEL,P011219,P013403,P014123,1.017,-4,3,7
1,TEL,P011219,P013403,P014127,1.4,-3,2,5
1,TEL,P011219,P013699,P014123,1.917,5,5,0
1,TEL,P011219,P013699,P014127,10.767,3,25,22
1,TEL,P011219,P014123,P014127,4.984,0,7,7
1,TEL,P013289,P013381,P013403,2.584,-3,0,3
1,TEL,P013289,P013381,P014012,1.717,-1,0,1
1,TEL,P013289,P013381,P014123,2.584,-3,0,3
1,TEL,P013289,P013403,P014012,8.434,1,14,13
1,TEL,P013289,P013403,P014123,10.818,4,19,15
1,TEL,P013289,P013403,P014127,5.767,-2,10,12
1,TEL,P013289,P013699,P014127,0.517,1,2,1
1,TEL,P013289,P014012,P014123,8.434,1,14,13
1,TEL,P013289,P014012,P014127,4.25,-7,5,12
1,TEL,P013289,P014123,P014127,6.334,-4,10,14
1,TEL,P013381,P013403,P014012,1.717,-1,0,1
1,TEL,P013381,P013403,P014123,2.584,-3,0,3
1,TEL,P013381,P014012,P014123,1.717,-1,0,1
1,TEL,P013403,P014012,P014123,8.434,1,14,13
1,TEL,P013403,P014012,P014127,4.25,-7,5,12
