Gamecode,CODETEAM,J1,J2,J3,J4,TIME,DELTA_SCORE,OFF,DEF
1,IST,P005844,P006372,P009754,P011201,1.2,-7,0,7
1,IST,P005844,P006372,P009754,P014025,1.2,-7,0,7
1,IST,P005844,P006372,P011201,P014025,1.2,-7,0,7
1,IST,P005844,P007109,P007200,P009549,1.816,2,2,0
1,IST,P005844,P007109,P007200,P009754,1.917,4,9,5
1,IST,P005844,P007109,P007200,P010391,4.017,4,12,8
1,IST,P005844,P007109,P007200,P011201,2.25,2,5,3
1,IST,P005844,P007109,P009549,P010391,0.833,0,0,0
1,IST,P005844,P007109,P009549,P011201,0.983,2,2,0
1,IST,P005844,P007109,P009754,P010391,1.917,4,9,5
1,IST,P005844,P007109,P010391,P011201,1.267,0,3,3
1,IST,P005844,P007200,P009549,P009754,0.5,-1,0,1
1,IST,P005844,P007200,P009549,P010391,0.833,0,0,0
1,IST,P005844,P007200,P009549,P011201,0.983,2,2,0
1,IST,P005844,P007200,P009549,P012710,0.5,-1,0,1
1,IST,P005844,P007200,P009754,P010391,2.784,5,12,7
1,IST,P005844,P007200,P009754,P011201,0.583,0,0,0
1,IST,P005844,P007200,P009754,P012710,1.367,0,3,3
1,IST,P005844,P007200,P009754,P014025,0.583,0,0,0
1,IST,P005844,P007200,P010391,P011201,1.267,0,3,3
1,IST,P005844,P007200,P010391,P012710,0.867,1,3,2
1,IST,P005844,P007200,P011201,P014025,0.583,0,0,0
1,IST,P005844,P009549,P009754,P010391,1.8,2,4,2
1,IST,P005844,P009549,P009754,P011201,3.383,6,7,1
1,IST,P005844,P009549,P009754,P012710,5.683,7,11,4
1,IST,P005844,P009549,P010391,P012710,1.8,2,4,2
1,IST,P005844,P009549,P011201,P012710,3.383,6,7,1
1,IST,P005844,P009754,P010391,P012710,2.667,3,7,4
1,IST,P005844,P009754,P011201,P012710,3.383,6,7,1
1,IST,P005844,P009754,P011201,P014025,1.783,-7,0,7
1,IST,P006372,P009754,P011201,P014025,1.2,-7,0,7
1,IST,P007109,P007200,P009549,P009754,8.767,5,21,16
1,IST,P007109,P007200,P009549,P010391,2.899,-3,2,5
1,IST,P007109,P007200,P009549,P011201,0.983,2,2,0
1,IST,P007109,P007200,P009549,P012710,9.3,7,23,16
1,IST,P007109,P007200,P009549,P014102,1.533,-5,0,5
1,IST,P007109,P007200,P009754,P010391,1.917,4,9,5
1,IST,P007109,P007200,P009754,P012710,8.767,5,21,16
1,IST,P007109,P007200,P010391,P011201,1.267,0,3,3
1,IST,P007109,P007200,P010391,P012710,0.533,2,2,0
1,IST,P007109,P007200,P010391,P014102,1.533,-5,0,5
1,IST,P007109,P009549,P009754,P012710,8.767,5,21,16
1,IST,P007109,P009549,P010391,P012710,0.533,2,2,0
1,IST,P007109,P009549,P010391,P014102,1.533,-5,0,5
1,IST,P007200,P009549,P009754,P010391,0.2,0,0,0
1,IST,P007200,P009549,P009754,P012710,10.9,4,26,22
1,IST,P007200,P009549,P009754,P014102,1.433,0,5,5
1,IST,P007200,P009549,P010391,P012710,11.333,4,25,21
1,IST,P007200,P009549,P010391,P014102,12.133,-3,23,26
1,IST,P007200,P009549,P012710,P014102,12.033,2,28,26
1,IST,P007200,P009754,P010391,P012710,4.4,-1,9,10
1,IST,P007200,P009754,P010391,P014102,3.333,-2,6,8
1,IST,P007200,P009754,P011201,P014025,0.583,0,0,0
1,IST,P007200,P009754,P012710,P014102,4.766,-2,11,13
1,IST,P007200,P010391,P012710,P014102,13.933,0,29,29
1,IST,P009549,P009754,P010391,P012710,2.0,2,4,2
1,IST,P009549,P009754,P011201,P012710,3.65,4,7,3
1,IST,P009549,P009754,P011201,P014102,0.267,-2,0,2
1,IST,P009549,P009754,P012710,P014102,1.7,-2,5,7
1,IST,P009549,P010391,P012710,P014102,10.6,2,23,21
1,IST,P009549,P011201,P012710,P014102,0.267,-2,0,2
1,IST,P009754,P010391,P012710,P014102,3.333,-2,6,8
1,IST,P009754,P011201,P012710,P014102,0.267,-2,0,2
1,TEL,P006835,P007673,P011193,P011219,3.166,-3,10,13
1,TEL,P006835,P007673,P011193,P013699,0.233,-2,0,2
1,TEL,P006835,P007673,P011193,P014123,2.933,-1,10,11
1,TEL,P006835,P007673,P011219,P013699,0.233,-2,0,2
1,TEL,P006835,P007673,P011219,P014123,2.933,-1,10,11
1,TEL,P006835,P007990,P011193,P011219,1.317,-4,0,4
1,TEL,P006835,P007990,P011193,P013289,2.15,4,7,3
1,TEL,P006835,P007990,P011193,P013403,0.383,0,0,0
1,TEL,P006835,P007990,P011193,P014127,3.85,0,7,7
1,TEL,P006835,P007990,P011219,P014123,2.55,-1,2,3
1,TEL,P006835,P007990,P011219,P014127,3.867,-5,2,7
1,TEL,P006835,P007990,P013289,P014123,0.567,-2,0,2
1,TEL,P006835,P007990,P013289,P014127,2.717,2,7,5
1,TEL,P006835,P007990,P013403,P014127,0.383,0,0,0
1,TEL,P006835,P007990,P014123,P014127,3.117,-3,2,5
1,TEL,P006835,P011193,P011219,P013381,4.433,-3,6,9
1,TEL,P006835,P011193,P011219,P013403,2.816,-2,7,9
1,TEL,P006835,P011193,P011219,P013699,14.949,-10,28,38
1,TEL,P006835,P011193,P011219,P014123,3.433,-1,13,14
1,TEL,P006835,P011193,P011219,P014127,11.05,-5,22,27
1,TEL,P006835,P011193,P013289,P013699,0.517,1,2,1
1,TEL,P006835,P011193,P013289,P014127,2.667,5,9,4
1,TEL,P006835,P011193,P013381,P013699,4.433,-3,6,9
1,TEL,P006835,P011193,P013403,P013699,1.433,-3,2,5
1,TEL,P006835,P011193,P013403,P014123,0.5,0,3,3
1,TEL,P006835,P011193,P013403,P014127,1.266,1,2,1
1,TEL,P006835,P011193,P013699,P014127,9.367,-1,22,23
1,TEL,P006835,P011219,P013381,P013699,4.433,-3,6,9
1,TEL,P006835,P011219,P013403,P013699,1.433,-3,2,5
1,TEL,P006835,P011219,P013403,P014123,1.017,-4,3,7
1,TEL,P006835,P011219,P013403,P014127,1.4,-3,2,5
1,TEL,P006835,P011219,P013699,P014123,1.917,5,5,0
1,TEL,P006835,P011219,P013699,P014127,10.767,3,25,22
1,TEL,P006835,P011219,P014123,P014127,4.984,0,7,7
1,TEL,P006835,P013289,P013381,P013403,0.867,-2,0,2
1,TEL,P006835,P013289,P013381,P014123,0.867,-2,0,2
1,TEL,P006835,P013289,P013403,P014123,2.384,3,5,2
1,TEL,P006835,P013289,P013403,P014127,1.517,5,5,0
1,TEL,P006835,P013289,P013699,P014127,0.517,1,2,1
1,TEL,P006835,P013289,P014123,P014127,2.084,3,5,2
1,TEL,P006835,P013381,P013403,P014123,0.867,-2,0,2
1,TEL,P006835,P013403,P014123,P014127,2.034,1,5,4
1,TEL,P006835,P013699,P014123,P014127,1.917,5,5,0
1,TEL,P007673,P011193,P011219,P013699,0.233,-2,0,2
1,TEL,P007673,P011193,P011219,P014123,2.933,-1,10,11
1,TEL,P007990,P011193,P011219,P014127,1.317,-4,0,4
1,TEL,P007990,P011193,P013289,P014127,2.15,4,7,3
1,TEL,P007990,P011193,P013403,P014127,0.383,0,0,0
1,TEL,P007990,P011219,P014123,P014127,2.55,-1,2,3
1,TEL,P007990,P013289,P013403,P014012,2.467,9,9,0
1,TEL,P007990,P013289,P013403,P014123,2.467,9,9,0
1,TEL,P007990,P013289,P014012,P014123,2.467,9,9,0
1,TEL,P007990,P013289,P014123,P014127,0.567,-2,0,2
1,TEL,P007990,P013403,P014012,P014123,2.467,9,9,0
1,TEL,P011193,P011219,P013381,P013699,4.433,-3,6,9
1,TEL,P011193,P011219,P013403,P013699,1.433,-3,2,5
1,TEL,P011193,P011219,P013403,P014123,0.5,0,3,3
1,TEL,P011193,P011219,P013403,P014127,0.883,1,2,1
1,TEL,P011193,P011219,P013699,P014127,8.85,-2,20,22
1,TEL,P011193,P013289,P013699,P014127,0.517,1,2,1
1,TEL,P011219,P013403,P014123,P014127,0.517,-4,0,4
1,TEL,P011219,P013699,P014123,P014127,1.917,5,5,0
1,TEL,P013289,P013381,P013403,P014012,1.717,-1,0,1
1,TEL,P013289,P013381,P013403,P014123,2.584,-3,0,3
1,TEL,P013289,P013381,P014012,P014123,1.717,-1,0,1
1,TEL,P013289,P013403,P014012,P014123,8.434,1,14,13
1,TEL,P013289,P013403,P014012,P014127,4.25,-7,5,12
1,TEL,P013289,P013403,P014123,P014127,5.767,-2,10,12
1,TEL,P013289,P014012,P014123,P014127,4.25,-7,5,12
1,TEL,P013381,P013403,P014012,P014123,1.717,-1,0,1
1,TEL,P013403,P014012,P014123,P014127,4.25,-7,5,12
2,BAS,P007230,P007579,P008173,P013367,0.167,0,2,2
2,BAS,P007230,P007579,P008173,P014086,0.184,0,2,2
2,BAS,P007230,P007579,P008173,P014107,0.017,0,0,0
2,BAS,P007230,P007579,P011948,P012080,2.5,-1,3,4
2,BAS,P007230,P007579,P011948,P013367,3.767,0,6,6
2,BAS,P007230,P007579,P011948,P014086,2.517,-1,3,4
2,BAS,P007230,P007579,P011948,P014119,1.25,-2,0,2
2,BAS,P007230,P007579,P012080,P013367,2.267,0,5,5
2,BAS,P007230,P007579,P012080,P014086,1.017,-1,2,3
2,BAS,P007230,P007579,P012080,P014119,1.25,-2,0,2
2,BAS,P007230,P007579,P013367,P014086,3.701,-2,7,9
2,BAS,P007230,P007579,P014086,P014107,0.017,0,0,0
2,BAS,P007230,P008072,P011948,P012080,6.3,10,20,10
2,BAS,P007230,P008072,P011948,P013367,15.317,3,39,36
2,BAS,P007230,P008072,P011948,P014086,9.017,-7,19,26
2,BAS,P007230,P008072,P012080,P013367,7.9,15,27,12
2,BAS,P007230,P008072,P012080,P014086,1.733,3,7,4
2,BAS,P007230,P008072,P012080,P014119,0.133,-2,0,2
2,BAS,P007230,P008072,P013367,P014086,11.95,-5,30,35
2,BAS,P007230,P008072,P013367,P014119,1.333,-3,4,7
2,BAS,P007230,P008072,P014086,P014119,1.466,-5,4,9
2,BAS,P007230,P008173,P013367,P014086,0.167,0,2,2
2,BAS,P007230,P008173,P014086,P014107,0.017,0,0,0
2,BAS,P007230,P011948,P012080,P013367,7.55,11,23,12
2,BAS,P007230,P011948,P012080,P014119,1.25,-2,0,2
2,BAS,P007230,P011948,P013367,P014086,11.534,-8,22,30
2,BAS,P007230,P012080,P013367,P014086,2.85,2,9,7
2,BAS,P007230,P012080,P013367,P014119,0.233,-2,0,2
2,BAS,P007230,P012080,P014086,P014119,0.366,-4,0,4
2,BAS,P007230,P013367,P014086,P014119,1.566,-5,4,9
2,BAS,P007579,P008173,P012080,P013367,2.233,2,8,6
2,BAS,P007579,P008173,P012080,P014026,5.316,-1,14,15
2,BAS,P007579,P008173,P012080,P014119,3.083,-3,6,9
2,BAS,P007579,P008173,P013367,P014026,2.233,2,8,6
2,BAS,P007579,P008173,P013367,P014086,0.167,0,2,2
2,BAS,P007579,P008173,P014026,P014086,2.167,-3,4,7
2,BAS,P007579,P008173,P014026,P014119,5.25,-6,10,16
2,BAS,P007579,P008173,P014086,P014107,0.017,0,0,0
2,BAS,P007579,P008173,P014086,P014119,2.167,-3,4,7
2,BAS,P007579,P011948,P012080,P013367,2.233,2,7,5
2,BAS,P007579,P011948,P012080,P014086,0.983,1,4,3
2,BAS,P007579,P011948,P012080,P014119,1.25,-2,0,2
2,BAS,P007579,P011948,P013367,P014086,3.5,0,7,7
2,BAS,P007579,P012080,P013367,P014026,4.833,1,13,12
2,BAS,P007579,P012080,P013367,P014086,2.0,0,6,6
2,BAS,P007579,P012080,P013367,P014119,2.6,-1,5,6
2,BAS,P007579,P012080,P014026,P014086,1.167,0,2,2
2,BAS,P007579,P012080,P014026,P014119,6.85,-4,13,17
2,BAS,P007579,P012080,P014086,P014119,1.167,0,2,2
2,BAS,P007579,P013367,P014026,P014119,2.6,-1,5,6
2,BAS,P007579,P014026,P014086,P014119,3.334,-3,6,9
2,BAS,P008072,P008173,P012080,P014026,1.867,0,5,5
2,BAS,P008072,P008173,P012080,P014119,1.867,0,5,5
2,BAS,P008072,P008173,P014026,P014119,1.867,0,5,5
2,BAS,P008072,P010035,P012080,P014026,0.05,0,0,0
2,BAS,P008072,P010035,P012080,P014086,0.05,0,0,0
2,BAS,P008072,P010035,P014026,P014086,0.05,0,0,0
2,BAS,P008072,P011948,P012080,P013367,7.316,10,22,12
2,BAS,P008072,P011948,P012080,P014026,0.933,0,2,2
2,BAS,P008072,P011948,P012080,P014086,0.083,0,0,0
2,BAS,P008072,P011948,P013367,P014026,0.933,0,2,2
2,BAS,P008072,P011948,P013367,P014086,9.1,-7,19,26
2,BAS,P008072,P012080,P013367,P014026,0.933,0,2,2
2,BAS,P008072,P012080,P013367,P014086,1.683,5,7,2
2,BAS,P008072,P012080,P014026,P014086,0.05,0,0,0
2,BAS,P008072,P012080,P014026,P014119,1.867,0,5,5
2,BAS,P008072,P012080,P014086,P014119,0.133,-2,0,2
2,BAS,P008072,P013367,P014086,P014119,1.333,-3,4,7
2,BAS,P008173,P012080,P013367,P014026,2.233,2,8,6
2,BAS,P008173,P012080,P014026,P014119,4.95,-3,11,14
2,BAS,P008173,P014026,P014086,P014119,2.167,-3,4,7
2,BAS,P010035,P012080,P014026,P014086,0.05,0,0,0
