N_MATCH;Nom;Prenom;TOT_PTS_FANTASY;Class. FANTASY;Pick de Draft;POINT FANTASY THEORIQUE;DELTA
12;SHORTS; TJ;112,7;91;4;263,3;-150,6
9;FOURNIER; EVAN;37,3;194;27;181,9;-144,6
11;SAKO; NEAL;51,4;169;30;179,3;-127,9
9;NORRIS; MILES;18,6;227;59;144,5;-125,9
11;BRIZUELA; DARIO;25,1;210;54;150,4;-125,3
8;PARKER; JABARI;60,4;159;29;181,3;-120,9
12;HEZONJA; MARIO;99,6;106;22;186;-86,4
12;BIBEROVIC; TARIK;41,3;188;74;126,4;-85,1
9;SWIDER; COLE;24;216;97;106,7;-82,7
12;HALL; DEVON;164,7;39;ND;187,3;-22,6
10;JONES; KAI;49,2;175;67;131,5;-82,3
9;BACOT JR.; ARMANDO;39,4;190;80;121,3;-81,9
12;MICIC; VASILIJE;182,3;26;3;264;-81,7
10;GABRIEL; WENYEN;48,5;178;85;116,7;-68,2
12;PUNTER; KEVIN;131,8;66;18;198,8;-67
11;ALSTON JR. ; DERRICK;61;158;75;124,3;-63,3
12;EDWARDS; CARSEN;162,7;43;8;225,9;-63,2
8;MONTERO; JEAN;100,7;104;43;162,7;-62
11;GUDURIC; MARKO;99,7;105;45;159,7;-60
12;NUNN; KENDRICK;211,7;12;2;271,4;-59,7
12;CAMPAZZO; FACUNDO;144,5;59;16;203,5;-59
12;M'BAYE; AMATH;52,8;168;93;111,8;-59
12;PETERS; ALEC;70,6;141;71;128,8;-58,2
10;HAZER; SEHMUS;-3,4;301;ND;-3,4;0
11;DOWTIN JR; JEFFREY;98,9;107;48;154,8;-55,9
12;TAVARES; WALTER;195,6;20;6;250,4;-54,8
11;WALKER IV; LONNIE;129;70;28;181,3;-52,3
7;MILTON; SHAKE;61,7;155;88;113,5;-51,8
12;JANTUNEN; MIKAEL;81,8;126;66;131,8;-50
8;KRATZER; LEON;-7,2;304;ND;-7,2;0
12;MOTLEY; JOHNATHAN;133,3;65;26;182,3;-49
7;GRIGONIS; MARIUS;-7,3;305;ND;-7,3;0
10;VILLAR; RAFA;2,3;270;ND;1;1,3
11;HOARD; JAYLEN;176,4;31;10;215,5;-39,1
8;NOGUES; ISAAC;2,2;272;ND;0,9;1,3
9;TAYLOR; BRANDON;7,8;252;ND;5,5;2,3
11;BOOKER; DEVIN;145,2;58;25;183,9;-38,7
12;OJELEYE; SEMI;108,3;95;57;145,7;-37,4
10;NGOUAMA; MEHDY;11,5;242;ND;8,8;2,7
12;SEDEKERSKIS; TADAS;128,8;71;38;165,1;-36,3
10;HORTON TUCKER; TALEN;121,4;78;50;153,6;-32,2
12;DIALLO; ALPHA;181,3;28;11;211,8;-30,5
12;OKOBO; ELIE;134,3;64;42;163,2;-28,9
9;RUBSTAVICIUS; MANTAS;11,9;241;ND;9,2;2,7
12;HERNANGOMEZ; WILLY;104;101;70;129;-25
12;VEZENKOV; SASHA;255,3;5;1;279,9;-24,6
12;HERNANGOMEZ; JUANCHO;164;41;23;185,8;-21,8
12;THEIS; DANIEL;187,3;21;13;208,8;-21,5
7;KRAMER; DAVID;9,7;247;ND;6,8;2,9
12;FAYE; MOUHAMED;93,5;114;100;104,2;-10,7
11;ATAMNA; ADAM;10,8;245;ND;7,8;3
7;HOWARD; MARKUS;17,4;229;ND;14,3;3,1
9;MARCOS; JUANI;15;234;ND;11,9;3,1
10;SHIELDS; SHAVON;153,6;50;41;164;-10,4
12;STRAZEL; MATTHEW;94,8;113;99;105,1;-10,3
12;MIROTIC; NIKOLA;167;34;31;176,4;-9,4
7;DE COLO; NANDO;119,6;83;72;128,1;-8,5
11;JONES; TYRIQUE;198,8;18;15;206,2;-7,4
10;KABENGELE; MFIONDU;196,7;19;17;201,6;-4,9
11;OKEKE; CHUMA;103,4;102;94;108,3;-4,9
7;LEE; SABEN;20,5;222;ND;17,3;3,2
11;LLULL; SERGIO;15,1;233;ND;11,9;3,2
10;TARPEY; TERRY;14,2;237;ND;11;3,2
12;WARD; TYSON;124,3;75;69;129,1;-4,8
10;MONEKE; CHIMA;207,1;14;12;211,7;-4,6
12;LOYD; JORDAN;112,3;92;86;116,6;-4,3
7;NWORA; JORDAN;164,4;40;37;165,4;-1
9;MCCORMACK; DAVID;11;244;ND;7,8;3,2
8;SESTINA; NATHAN;14,1;238;ND;10,8;3,3
11;BRISSETT; O'SHAE J;112,9;90;89;113,3;-0,4
12;SELJAAS; ZACHARY;121,3;80;78;121,4;-0,1
7;ANDERSON; JUSTIN;22,9;218;ND;19,5;3,4
8;GINAT; TOMER;25;211;ND;21,5;3,5
8;ODIASE; TAI;15,5;232;ND;12;3,5
11;OSMAN; CEDI;155,7;47;49;154,6;1,1
7;MILJENOVIC; STEFAN;22,5;219;ND;18,6;3,9
8;NTILIKINA; FRANK;26,4;209;ND;22,3;4,1
11;LARKIN; SHANE;186;22;24;184,7;1,3
7;BIRSEN; METECAN;21,5;221;ND;17,4;4,1
9;MALEDON; THEO;156,4;46;51;153,2;3,2
9;DOS SANTOS; YAGO;19,6;224;ND;15,5;4,1
9;AJINCA; MELVIN;19,5;226;ND;15;4,5
11;COSTELLO; MATTHEW;106,7;97;104;100,7;6
11;BITIM; ONURALP;19,6;225;ND;15,1;4,5
10;BRAZDEIKIS; IGNAS;20,2;223;ND;15,6;4,6
9;PAPANIKOLAOU; KOSTAS;24,3;214;ND;19,6;4,7
8;BAKO; ISMAEL;22,3;220;ND;17,6;4,7
12;MELLI; NICOLO;113,5;88;102;103,4;10,1
12;ABASS; AWUDU;27,9;207;ND;22,9;5
11;BACON; DWAYNE;154,8;48;61;141;13,8
12;JAMES; MIKE;250,4;6;7;233,5;16,9
12;CLYBURN; WILL;183,9;25;35;166,7;17,2
12;RAYMAN; WILLIAM;33,3;202;ND;24,3;9
9;AYAYI; JOEL;33;203;ND;24;9
12;WEILER-BABB; NICK;181,9;27;40;164,4;17,5
9;POKUSEVSKI; ALEKSEJ;33,9;201;ND;24,7;9,2
12;LUCIC; VLADIMIR;131,5;67;95;108,3;23,2
8;GIFFEY; NIELS;43,2;184;ND;33;10,2
10;ABALDE; ALBERTO;42,6;185;ND;32,4;10,2
11;MANNION; NICCOLO;36,8;195;ND;26,4;10,4
11;LEAF; TJ;159,7;45;64;134,3;25,4
12;THOMPSON; DARIUS;165,1;38;62;138,6;26,5
12;BIRCH; KHEM;35,9;197;ND;25,1;10,8
12;CORDINIER; ISAIA;146,7;56;84;117,7;29
12;SORKIN; ROMAN;181,3;29;53;151,6;29,7
